kegg_pathways	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
ko00624: Polycyclic aromatic hydrocarbon degradation	0.00210186	3.8878e-06	1.22788e-06	1.51396e-07	1.06635e-06	8.90623e-07	8.94089e-08	0	3.06441e-07	1.75267e-08	1.35129e-07	1.17471e-06	1.20827e-08	3.95159e-08	0	0	5.12136e-07	6.50198e-08	1.17097e-06	2.5044e-06	3.84089e-05	1.32342e-07	0	1.77896e-05	0
ko00625: Chloroalkane and chloroalkene degradation	0	0.000235301	4.95058e-05	9.67411e-06	0.000111603	0.000234121	0.000340405	0.00023583	6.20053e-05	6.37361e-05	0.000186232	0.000362	0.000119225	0	5.89263e-05	0	0.000194838	0	0.000113956	0.000218332	0	0.000959792	0.000128682	0.000195488	0
ko00626: Naphthalene degradation	0.00743266	0.000500435	0.000176979	4.22371e-05	0.000429211	0.000791225	0.0013354	0.000371162	0.00015754	0.000376749	0.000781091	0.00070131	0.000615516	0.000671197	7.82274e-05	0.000402519	0.000751971	0.000640674	0	0.000834465	0	0.000988887	0.000422255	0.000667286	0
ko00627: Aminobenzoate degradation	0.00179337	0.00026188	0.000116614	1.04146e-05	0.000125633	0.000249812	0.0010454	0.000197591	3.2419e-05	0.000189117	0.000321324	0.000207092	0.000214748	0.000101692	1.5069e-05	0.0002446	0.000226751	0.000350019	0.00021042	0.000463729	0.000148806	0.000280583	0.000131382	0.000354361	0.000260587
ko00630: Glyoxylate and dicarboxylate metabolism	0.00480464	0.00267158	0.00121659	0.00021415	0.00267917	0.00369137	0.00535816	0.00425163	0.000521682	0.00220601	0.00306846	0.00287416	0.0026226	0.0034791	0.000199438	0.00328604	0.0035141	0.00303894	0.00283982	0.00326013	0.00335098	0.0069423	0.00214884	0.0041584	0.00415734
ko00633: Nitrotoluene degradation	0.000597229	0.000158236	6.73417e-05	0	6.1895e-05	8.72699e-05	0.000416782	0.000397353	2.39226e-05	4.62415e-05	6.14667e-06	8.57506e-05	6.6156e-05	0	2.92747e-05	0.000132594	0.000207039	0.000159578	0	0.000144202	8.33081e-05	0.000473054	0.000116267	0.000258349	6.79574e-05
ko00640: Propanoate metabolism	0.0115972	0.00252813	0.00125178	0.000248339	0.00342696	0.00417582	0.00610298	0.00429574	0.000610056	0.00255354	0.00371742	0.0029119	0.00276601	0.00316085	0.000203011	0.00281119	0.00329549	0.00222394	0.0023857	0.00330045	0.00303109	0.00522779	0.00226105	0.00348192	0.00276168
ko00642: Ethylbenzene degradation	0	0	0	0	0	0	1.08266e-05	1.08079e-06	0	0	0	0	0	0	0	0	4.72192e-07	0	0	0	0	0	0	4.9126e-07	0
ko00643: Styrene degradation	0	1.17802e-05	0	0	0	3.67333e-07	6.41212e-06	0	0	0	0	0	3.07218e-05	0	0	0	0	0	0	0	0	2.41553e-06	0	6.6681e-06	0
ko00650: Butanoate metabolism	0.0165948	0.00302715	0.00144681	0.000236217	0.0037637	0.00500493	0.00658696	0.0055056	0.0008213	0.003331	0.00423006	0.00323737	0.00296455	0.00271502	0.000193373	0.00277099	0.0036595	0.00264043	0.00258281	0.00314012	0.00338672	0.00657662	0.00288395	0.00352911	0.00298015
ko00660: C5-Branched dibasic acid metabolism	0.00575069	0	0	0	2.65313e-05	0	0.000485671	0.000137756	0	0	0	0.000197836	0	0	1.19195e-05	0	0	0.000472002	0	0.000146822	0.000267305	0	0.00017733	0	0
ko00670: One carbon pool by folate	0.0195258	0.00244241	0.00124089	0.000247834	0.00324184	0.00411538	0.0076623	0.00460808	0.000447237	0.00166021	0.00358439	0.00324319	0.00250279	0.00398928	0.000272563	0.00284796	0.00343886	0.00361943	0.00326798	0.00566258	0.00364468	0.00871267	0.00361175	0.00386786	0.00341241
ko00680: Methane metabolism	0.00735471	0.000150293	5.71222e-05	2.4007e-05	0.000231256	0.000237155	0.000452141	0.000247042	2.53793e-05	0.000113571	0.000155495	0.000133773	0.000191177	0.000253122	1.60212e-05	0.000254941	0.000168763	0.000123559	0.000251913	0.000355899	0.000333642	0.000431702	0.000212144	0.000203624	0.000145352
ko00710: Carbon fixation in photosynthetic organisms	3.98379e-06	2.33515e-05	3.47434e-05	6.32524e-06	3.04772e-06	6.24433e-05	7.16983e-05	1.2301e-05	7.95298e-06	5.04545e-05	2.85586e-05	4.12808e-05	2.7364e-05	8.32654e-06	3.58744e-07	7.50216e-06	7.44069e-05	0.000102288	1.06977e-05	1.08545e-05	3.61034e-05	2.02622e-05	7.67683e-06	7.6757e-06	7.93166e-07
ko00720: Carbon fixation pathways in prokaryotes	0.0135995	2.4254e-05	8.12788e-07	1.22674e-07	4.11613e-06	4.26067e-05	4.75035e-05	2.43568e-06	8.26143e-07	3.49359e-06	6.91126e-05	1.19498e-05	1.78793e-05	1.57192e-07	1.46388e-07	1.9813e-06	8.26488e-06	3.45914e-05	2.96783e-05	3.82512e-06	9.74388e-07	5.74696e-06	1.71254e-05	3.60716e-06	6.3472e-08
ko00730: Thiamine metabolism	0.0198679	0.00126527	0.000537791	9.47821e-05	0.00206333	0.00189254	0.0045539	0.0047849	0.000329951	0.000840267	0.00126299	0.0021164	0.00108985	0.00177814	0.000178728	0.00158445	0.00127786	0.00111095	0.000984224	0.00252666	0.00216428	0.0055264	0.00210789	0.00134709	0.00152522
ko00740: Riboflavin metabolism	0.0266453	0.00181492	0.000625338	0.000200011	0.00169924	0.00192194	0.00448103	0.00360061	0.000242199	0.00143865	0.0017583	0.00194629	0.00176549	0.00210657	0.000121146	0.00177586	0.00168309	0.00205021	0.00198876	0.00226326	0.00157896	0.00372606	0.00140457	0.00193656	0.00174267
ko00750: Vitamin B6 metabolism	0.0105143	0.00238112	0.000618018	0.000252114	0.00269549	0.00303025	0.00472164	0.00353307	0.000429543	0.00124526	0.00248824	0.00276189	0.00172348	0.00291983	0.000292399	0.00368014	0.0037402	0.00300519	0.00265037	0.00427962	0.00495138	0.00805696	0.0035098	0.00688633	0.00320954
ko00760: Nicotinate and nicotinamide metabolism	0.010244	0.00280932	0.000967151	0.000160114	0.00226252	0.00340133	0.00523848	0.00384611	0.000466814	0.00174379	0.00252365	0.0029213	0.00156221	0.00254011	0.000178238	0.00346695	0.00267753	0.00353423	0.00196076	0.00350949	0.00350574	0.00517054	0.00250591	0.00313714	0.00289106
ko00770: Pantothenate and CoA biosynthesis	0.0107157	0.00239758	0.00109614	0.000169765	0.00312149	0.00332869	0.00558849	0.00405333	0.000503474	0.00121442	0.0022587	0.00231212	0.00166842	0.00285908	0.000231149	0.00230342	0.0034265	0.00250967	0.00198745	0.00334729	0.00343989	0.00480162	0.00191986	0.00399732	0.00278584
ko00780: Biotin metabolism	0.0209684	0.00197262	0.000833921	0.000108391	0.00209486	0.00303868	0.00628313	0.00432487	0.000287214	0.00107543	0.00355487	0.0021056	0.00195706	0.0033638	0.000204126	0.00134229	0.00381833	0.00307576	0.00067047	0.00204613	0.00189875	0.00739193	0.00136512	0.00283536	0.0027411
ko00785: Lipoic acid metabolism	9.92233e-05	0.00400487	0.000569845	0.000123995	0.00150933	0.00161402	0.0130112	0.00618905	0.000214258	0.00142419	0.00187108	0.00209078	0.00170807	0.00321188	0.000201629	0.00282095	0.00213461	0.00375663	0.00157985	0.00278075	3.25727e-07	0.00971296	0.00110933	0.00304047	0.00229338
ko00790: Folate biosynthesis	0.0164664	0.00172478	0.00150732	0.000143607	0.00186512	0.00292933	0.00688375	0.00418508	0.000513195	0.00184899	0.00269155	0.00246702	0.00241036	0.0023462	0.000226013	0.00327899	0.00330919	0.00299787	0.00196907	0.00359253	0.00327225	0.0087246	0.00264786	0.00331693	0.00306467
ko00791: Atrazine degradation	7.42358e-05	0.000369418	0.000222158	2.20711e-05	0.000335977	0.000608548	0.00045645	0.000407205	3.4811e-05	0.000317098	0.00020937	0.000358167	0.000339728	0.000815317	1.16937e-05	0.000680278	0.000615912	0	0.000284354	0.000612132	0.000697988	0.000546938	0.00027986	0.000328932	0.000386666
ko00830: Retinol metabolism	1.35655e-05	0.00235697	0.00133391	0.000170577	0.00346151	0.00564714	0.00341784	0.00395805	0.000603968	0.00382894	0.00321588	0.00333651	0.00268886	0.00242558	4.63546e-05	0.0018902	0.00122124	0.00126593	0.00165229	0.00179351	0.00209557	0.00249347	0.00111153	0.00223823	0.00241073
ko00860: Porphyrin and chlorophyll metabolism	0.011121	0.00199728	0.000854118	0.000109925	0.0016113	0.0024756	0.00433938	0.00265529	0.000377721	0.00120277	0.00193974	0.00216428	0.00173839	0.00210065	0.000159803	0.00236078	0.00263357	0.00233822	0.00135612	0.00223822	0.00254546	0.00441274	0.00138098	0.00248097	0.00218833
ko00900: Terpenoid backbone biosynthesis	0.015487	0.00253405	0.00122928	0.000213813	0.00421702	0.00431884	0.00624871	0.00478992	0.000660891	0.00317481	0.00320656	0.00224296	0.00211259	0.00250708	0.000192872	0.00193429	0.00270861	0.00189749	0.00232018	0.00219837	0.00248345	0.00539881	0.00233474	0.00273119	0.0029866
ko00901: Indole alkaloid biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.37127e-05	0	0	0.000127952	0	0	4.22806e-05	0	0
ko00903: Limonene and pinene degradation	0.00624866	0.000160676	0.000143543	2.22512e-05	5.20039e-05	0.000275367	0.00611985	0.000309651	2.64259e-05	0.000133389	0.000347034	0.000172113	0.000199181	0.000114896	8.45653e-06	6.94846e-05	0.000143941	0.000142795	0.000125811	4.37793e-05	0.000235094	0.000239242	6.73331e-05	0.000406614	0.00011897
ko00904: Diterpenoid biosynthesis	5.70636e-08	0	0	0	0	0	0	0	0	0	1.0315e-06	0	0	0	8.37562e-07	0	0	0	1.23228e-06	3.18384e-05	0	6.92213e-07	0	0	0
ko00906: Carotenoid biosynthesis	9.78933e-06	0.000248012	8.49781e-05	8.92453e-06	1.88547e-05	8.69535e-05	4.57335e-05	0.0011401	6.92068e-06	1.79588e-05	0.000279315	0.000137787	0.000121952	6.82622e-06	6.59802e-06	6.83456e-05	0.000243504	9.85142e-05	3.33615e-07	6.20463e-05	3.01203e-05	0.000384562	4.98061e-05	0.000445476	0.000258169
ko00908: Zeatin biosynthesis	0.00329353	4.07693e-06	0.000103522	8.13323e-05	0.000756504	0.00116811	0.0013588	0.00116488	0.000250858	0.000536514	0.00152584	0.000472873	0.00108808	0.000283842	5.25659e-05	0.000491679	0.00115533	0.000906716	0.000540876	0.00179402	0.00126804	0.0020708	0.00038344	0.000281107	0.000934894
ko00910: Nitrogen metabolism	0.00648256	0.00123167	0.000508516	0.000132707	0.00158359	0.00235626	0.00309513	0.00260541	0.000254596	0.00098632	0.00169862	0.00160311	0.00139727	0.00121643	0.000133171	0.00091064	0.00103617	0.000868317	0.000884721	0.00156468	0.00133011	0.00279282	0.00124711	0.0016369	0.00106103
ko00920: Sulfur metabolism	0.00637061	0.00224395	0.000628203	0.000171603	0.00191445	0.00237241	0.00481277	0.0035763	0.000391304	0.00185465	0.00192981	0.00175412	0.00143321	0.00148934	0.000153756	0.00156807	0.00187797	0.00184596	0.00129059	0.00249667	0.00170442	0.00419695	0.00126275	0.0018018	0.00225999
ko00930: Caprolactam degradation	0.000493365	0.000564345	0.000261666	2.26749e-05	0.000285541	0.000530036	0.000940862	0.000274324	0.000117886	0.000148095	0.000216506	0.000326892	0.000184037	0.000357194	5.38303e-05	0.000237462	0.000298636	0.000107653	0.000116744	0.000394518	0.000473787	0.00106503	0.000197851	0.000287729	0.000345526
ko00940: Phenylpropanoid biosynthesis	7.94284e-06	1.73055e-05	6.4362e-06	3.10043e-06	1.50631e-05	3.14951e-05	5.28881e-05	1.75234e-05	3.9627e-06	2.17821e-05	2.09461e-05	2.60884e-05	1.14494e-05	6.60757e-05	1.04493e-06	3.20848e-05	3.22026e-05	1.31097e-05	2.22193e-05	1.09177e-05	1.78431e-05	5.30043e-05	9.33654e-06	1.36049e-05	1.28756e-05
ko00941: Flavonoid biosynthesis	2.37361e-05	5.18291e-05	0	0	2.37597e-05	6.0709e-05	9.29143e-07	0	0	0	4.88973e-05	6.31245e-05	4.84711e-05	0	0	9.92694e-06	0	0	0	0	0	1.1019e-06	4.09031e-06	0	0
ko00960: Tropane, piperidine and pyridine alkaloid biosynthesis	5.78705e-06	0	9.58156e-08	0	3.38631e-06	4.13987e-07	3.82852e-07	1.89576e-06	3.51555e-07	4.79535e-07	0	6.99639e-07	9.0684e-08	0	3.13924e-06	0	0	2.16061e-06	1.5573e-07	0	0	0	1.12917e-06	6.01787e-05	0
ko00970: Aminoacyl-tRNA biosynthesis	0.0338138	0.00284501	0.00124745	0.00026661	0.00367625	0.00476319	0.0069358	0.0058201	0.000601693	0.0026244	0.00364204	0.00366772	0.00320312	0.00411256	0.000218896	0.00418054	0.00471442	0.00368956	0.00362917	0.00455464	0.00524509	0.00772554	0.00394394	0.00513671	0.0046292
ko00980: Metabolism of xenobiotics by cytochrome P450	4.32484e-07	0.00401034	0.0021252	0.000247935	0.00532733	0.00840983	0.00653356	0.00697389	0.00105357	0.00566518	0.00511631	0.00589014	0.0054822	0.00344906	8.27677e-05	0.00467021	0.00454684	0.00278582	0.0035451	0.00367121	0.00383583	0.00529785	0.00356771	0.00520791	0.00401238
ko00981: Insect hormone biosynthesis	0	3.15557e-05	5.0072e-05	5.75588e-06	6.39486e-05	0.000140258	0.000188441	0.000194047	4.36895e-06	5.0929e-05	0.000185866	0.000104522	0.00010229	0.000400783	1.96215e-07	4.28969e-05	0.000132597	4.42099e-05	0.00013791	7.8841e-05	1.74567e-05	3.49493e-05	2.30387e-05	0.000168876	0.000189338
ko00982: Drug metabolism - cytochrome P450	0	0.00508706	0.00234569	0.000330604	0.00689933	0.0101295	0.00887281	0.00781305	0.00130974	0.00721939	0.00644433	0.00718165	0.00654159	0.00323428	8.82427e-05	0.0048688	0.00491488	0.00313053	0.00380834	0.00376746	0.00422069	0.00660114	0.00379822	0.00574028	0.00435158
ko00983: Drug metabolism - other enzymes	7.61228e-07	0.00380182	0.00179631	0.000355739	0.00518299	0.00781549	0.00774412	0.00579394	0.00106562	0.00404806	0.00369585	0.00455239	0.00450972	0.00432378	0.00030881	0.00660069	0.00583297	0.00469638	0.00527743	0.00621242	0.00680587	0.00852591	0.00408337	0.00635474	0.00526658
ko01040: Biosynthesis of unsaturated fatty acids	0.00125996	0.00217689	0.000870936	0.000174183	0.00257344	0.00332911	0.00467487	0.00346045	0.000431699	0.00220639	0.00214007	0.00208025	0.00248724	0.00255785	0.000137958	0.0023934	0.00303128	0.00246709	0.00296522	0.00334704	0.00407902	0.00403595	0.0018105	0.00365038	0.00387575
ko01053: Biosynthesis of siderophore group nonribosomal peptides	2.57071e-05	0.000353735	0.000154422	1.35907e-05	0.000438855	0.000604174	0.00211182	0.000414229	8.04377e-05	0.000280804	0.000566672	0.000644825	0.00023263	0.000422808	5.45604e-05	0.000500967	0.000883741	0.000645384	0.000447303	0.000384501	0.000502534	0.00239683	0.000292691	0.000400728	0.000744893
ko01056: Biosynthesis of type II polyketide backbone	0.000110256	1.40438e-06	1.35547e-06	3.79552e-07	1.64439e-05	2.96868e-06	9.26762e-06	4.74371e-05	2.2221e-07	1.96083e-06	0	0	6.12124e-06	0	0	0	5.1103e-06	1.27933e-06	0	9.14397e-06	1.52141e-06	2.46928e-05	1.23806e-05	0	0
ko02010: ABC transporters	0.00798433	0.0011042	0.000547938	7.60212e-05	0.000941329	0.00168167	0.00437939	0.00208281	0.000247776	0.000709893	0.00153447	0.00133371	0.00103232	0.00119052	0.000145485	0.00104711	0.00137669	0.00117612	0.000804938	0.00141522	0.00116369	0.00320295	0.000945166	0.00165403	0.00121418
ko02020: Two-component system	0.00440999	0.000961379	0.000385145	4.3932e-05	0.000650258	0.00107015	0.00333201	0.00135289	0.000179128	0.0004104	0.00130307	0.00108218	0.000841545	0.000659702	0.000113341	0.000806645	0.00113742	0.000763172	0.000519866	0.00103464	0.000973196	0.00243618	0.000672551	0.00115665	0.000949309
ko02030: Bacterial chemotaxis	0.00310197	0.000359268	0.000249307	4.15246e-05	0.00031579	0.000598088	0.00194583	0.000672	0.000149965	0.000184604	0.000793705	0.000645047	0.000792954	0	7.45145e-05	0.000294885	0.000950654	0.000377434	0.000365839	0.000455722	0.000190443	0.00170015	0.000623013	0.000939801	0.00058016
ko02040: Flagellar assembly	0.000868359	0.00205782	0.000872675	8.50593e-05	0.000858817	0.00212005	0.00531409	0.00195384	0.000325627	0.000939596	0.00249333	0.00211137	0.0016872	0.00219703	0.000220536	0.00163664	0.0019415	0.00190521	0.000799193	0.00184458	0.000997349	0.00494442	0.000973557	0.00288718	0.00111279
ko02060: Phosphotransferase system (PTS)	0.00795329	0.000156092	3.62165e-05	1.23366e-05	0.000262484	0.000320975	0.000385522	0.000586887	3.87197e-05	3.75116e-05	0.000150833	0.000319253	0.000169118	0.000186321	2.27442e-05	0.000180539	0.000137034	9.30667e-05	8.3043e-05	0.000189853	0.000109441	0.000366625	0.000225791	0.000274342	0.000140611
ko03008: Ribosome biogenesis in eukaryotes	0.00113732	0.00202103	0.000687517	0.00020242	0.00177309	0.00314174	0.00500224	0.00255303	0.000435445	0.00242107	0.00273931	0.00270595	0.00240086	0.00468384	8.15345e-05	0.00473638	0.00348058	0.00420746	0.00378626	0.00368698	0.00581954	0.00497583	0.00229507	0.00393918	0.00436701
ko03010: Ribosome	0.0342959	0.0141017	0.00594597	0.00247441	0.0457322	0.023819	0.02143	0.0180723	0.00291766	0.00813225	0.0136549	0.0169403	0.0156542	0.0245558	0.00105577	0.0227894	0.0242428	0.0210502	0.0198826	0.0213751	0.0331691	0.0431887	0.0383636	0.0242378	0.0212633
ko03013: RNA transport	0.000197791	0.00291682	0.00152335	0.00029149	0.00267744	0.00465569	0.00699772	0.00350958	0.000745817	0.00371867	0.00364962	0.0035753	0.00377976	0.00698393	0.00013414	0.00718564	0.00585984	0.00548139	0.0062964	0.00564427	0.00932072	0.00721687	0.0036961	0.00612645	0.00612411
ko03015: mRNA surveillance pathway	3.45563e-05	0.00212524	0.00117011	0.000216645	0.00191493	0.00336727	0.00413309	0.00270021	0.000452586	0.00272923	0.00262521	0.00231861	0.00251416	0.00478098	8.84758e-05	0.00548173	0.00320673	0.00380262	0.00447535	0.00358939	0.00537324	0.0044141	0.00230573	0.00420214	0.00399877
ko03018: RNA degradation	0.00963575	0.00293108	0.00139414	0.000278284	0.00345637	0.00420496	0.0070995	0.0041294	0.000652198	0.00268701	0.00312438	0.00353992	0.00303407	0.00531419	0.000209134	0.00471776	0.00424632	0.00414094	0.00394001	0.00463961	0.00738364	0.00824855	0.00385383	0.00541302	0.00478888
ko03020: RNA polymerase	0.00832446	0.00354131	0.00125293	0.000351844	0.00518952	0.00478212	0.00563445	0.00475623	0.000778829	0.00226906	0.00278951	0.0038846	0.0031779	0.00426349	0.000225798	0.0061533	0.00562628	0.00311239	0.00361519	0.00471132	0.00617359	0.00901851	0.00411022	0.00517081	0.00536767
ko03022: Basal transcription factors	4.38161e-06	0.00221431	0.000863049	0.000154076	0.00235724	0.00349166	0.00487826	0.002619	0.000649843	0.00236917	0.00228561	0.00216751	0.00266572	0.00463644	7.12291e-05	0.00543242	0.0034292	0.00335353	0.00304165	0.00223609	0.004238	0.00402077	0.00207549	0.00397535	0.00391473
ko03030: DNA replication	0.0121505	0.00300117	0.0013681	0.00017739	0.00442077	0.00383046	0.00777062	0.00570047	0.000507742	0.00233855	0.00305002	0.00278725	0.00278089	0.00298796	0.000214082	0.00417832	0.00448258	0.00426088	0.00432276	0.00423393	0.00429955	0.00926096	0.00314646	0.00455055	0.00510982
ko03040: Spliceosome	3.46292e-05	0.00279942	0.00134384	0.000324529	0.00249307	0.00488777	0.00575156	0.00347311	0.000675334	0.00314887	0.00380631	0.0035605	0.00332289	0.00755197	0.000113408	0.00653969	0.00521947	0.00513217	0.00573219	0.00516147	0.00773468	0.00680232	0.00310951	0.00665705	0.00536451
ko03050: Proteasome	0.000113779	0.00923283	0.00280654	0.000601821	0.00557816	0.0112598	0.0120925	0.00683564	0.00177609	0.00767997	0.00761856	0.00725229	0.00774416	0.0131798	0.000177277	0.0137275	0.014822	0.0103439	0.00907233	0.0100244	0.016053	0.0170327	0.0072071	0.0150843	0.0186884
ko03060: Protein export	0.0177075	0.00519271	0.00222404	0.000704563	0.010727	0.00705048	0.00865559	0.0073066	0.00118312	0.00404982	0.00588332	0.00545611	0.00430639	0.00620286	0.00030473	0.005897	0.00523323	0.00451403	0.00450299	0.00619198	0.00660297	0.0132639	0.00883925	0.00549818	0.00768761
ko03070: Bacterial secretion system	0.0103444	0.001426	0.000530929	6.91072e-05	0.000682175	0.00146059	0.00450901	0.00133386	0.000302818	0.000676393	0.00157795	0.00177191	0.00106589	0.000651745	0.00014337	0.000907033	0.00140668	0.00112073	0.00062345	0.0013159	0.000982896	0.00289327	0.000507688	0.00113009	0.00101995
ko03320: PPAR signaling pathway	7.92494e-06	0.00717385	0.00329317	0.000881007	0.0155982	0.0120159	0.00711586	0.0100515	0.00196893	0.0137783	0.00948591	0.00580645	0.00605742	0.00491842	0.000124697	0.00538002	0.00335042	0.00337616	0.00439618	0.00488001	0.0065305	0.00420159	0.00409951	0.00843914	0.00375261
ko03410: Base excision repair	0.00954519	0.00258659	0.000956266	0.000142355	0.00199119	0.00261709	0.00533996	0.00354338	0.000427028	0.00171708	0.00263512	0.00235877	0.00197037	0.00223586	0.000185567	0.00302137	0.00341511	0.00327344	0.00258507	0.00356318	0.00339209	0.00610185	0.00177867	0.0030763	0.00346318
ko03420: Nucleotide excision repair	0.00659039	0.00295968	0.00123813	0.000175	0.00251639	0.00367565	0.00688212	0.00401441	0.000616614	0.00265284	0.00338265	0.00262679	0.0027198	0.00387404	0.000179715	0.00371837	0.00478545	0.00414191	0.00433604	0.00412288	0.00546866	0.00620003	0.00249163	0.00453847	0.0039375
ko03430: Mismatch repair	0.0166987	0.00286302	0.00121564	0.000180783	0.00459103	0.00374278	0.00739338	0.0050577	0.000528392	0.00233542	0.00271223	0.00244908	0.0025409	0.00242859	0.000202592	0.00297426	0.003616	0.00292906	0.00309314	0.00330979	0.00326919	0.00811789	0.00288282	0.00354623	0.00370918
ko03440: Homologous recombination	0.0152311	0.00264451	0.00125997	0.000165711	0.00419317	0.00355583	0.00644085	0.00496876	0.000473168	0.00165376	0.00250555	0.00219059	0.00201004	0.00240597	0.000216616	0.0024682	0.00320659	0.00264687	0.00220236	0.00302735	0.0029359	0.00726641	0.00276605	0.00344456	0.00321034
ko03450: Non-homologous end-joining	0	0.00213687	0.000925823	0.000252972	0.00193869	0.00323023	0.00494649	0.00228333	0.000498988	0.00256772	0.00280503	0.00263195	0.00266341	0.00393232	4.66482e-05	0.0036972	0.00259882	0.00263993	0.00287063	0.00239237	0.00431611	0.00357745	0.00228232	0.00319065	0.002879
ko04010: MAPK signaling pathway	1.71315e-06	0.00165026	0.000863807	0.000189144	0.00160877	0.00279282	0.00254847	0.00230976	0.00048889	0.00218434	0.0020987	0.00216712	0.00188368	0.00278634	5.73106e-05	0.00289004	0.0019891	0.00199591	0.00240094	0.0025004	0.00379984	0.00178362	0.00139152	0.00274429	0.00251757
ko04011: MAPK signaling pathway - yeast	1.79971e-05	7.32839e-05	1.82283e-05	5.20642e-06	7.37985e-05	8.10131e-05	0.000117104	0.000108255	1.11293e-05	8.4695e-05	9.14682e-05	5.91524e-05	5.49281e-05	4.83121e-05	3.3461e-06	8.47213e-05	9.73326e-05	5.86162e-05	6.13291e-05	7.49581e-05	0.000100931	6.76419e-05	7.52829e-05	0.000102882	9.38656e-05
ko04012: ErbB signaling pathway	0	0.00164141	0.000739932	0.000190327	0.00164937	0.00279559	0.00105833	0.00224615	0.000415806	0.00232976	0.00231963	0.00203805	0.0020743	0.0039967	5.52431e-05	0.00317476	0.00222611	0.00226414	0.00205255	0.0021069	0.00428452	0.000929363	0.00161375	0.00313435	0.00290643
ko04013: MAPK signaling pathway - fly	0	8.00828e-05	3.31068e-05	7.78283e-06	6.74748e-05	8.27895e-05	5.80472e-05	6.90618e-05	6.39315e-06	8.06478e-05	0.000100131	4.64172e-05	4.18377e-05	0.000225211	9.01417e-06	2.9219e-05	9.83724e-05	2.02868e-05	5.73586e-05	3.58164e-05	0.000271185	7.9263e-05	0.000143085	8.76777e-05	9.53491e-05
ko04020: Calcium signaling pathway	0	0.0839872	0.0656689	0.0264902	0.0782278	0.0378962	0.11715	0.0519192	0.0291221	0.0851357	0.0754223	0.0771297	0.0806258	0.057057	0.0337597	0.0542157	0.0633848	0.0723543	0.0767356	0.0545288	0.0522339	0.136296	0.0911093	0.0419774	0.0445167
ko04060: Cytokine-cytokine receptor interaction	6.1278e-07	0.000921167	0.000553717	0.00013291	0.00103737	0.00189989	0.000314776	0.00131257	0.000255282	0.00139449	0.00127524	0.00133815	0.00163154	0.00190066	3.75637e-05	0.00228055	0.00119519	0.00151083	0.0014227	0.00278617	0.00232488	0.00056694	0.00124004	0.00259421	0.00351004
ko04062: Chemokine signaling pathway	0	0.000178725	0.000122959	0.000218025	0.000178437	0.000232133	0.00025279	0.000320849	0.000532398	0.000256863	0.00011303	0.000227909	0.000192864	0.000376511	7.76494e-05	0.000348094	0.000148697	0.000295813	0.000267594	0.000278802	0.000329039	0.00029959	0.000159235	0.000406913	0.000207842
ko04070: Phosphatidylinositol signaling system	0	0.00145923	0.000962964	0.000173421	0.00165637	0.00326233	0.00365312	0.0024924	0.000386814	0.00208462	0.00203608	0.00224129	0.00198267	0.00231461	7.56022e-05	0.00267839	0.00162698	0.0020812	0.00249509	0.00266246	0.00305214	0.00208282	0.00135335	0.00308986	0.00253659
ko04075: Plant hormone signal transduction	0	7.3231e-06	1.98861e-06	8.65108e-07	1.23704e-05	1.50993e-05	2.00769e-05	1.2665e-05	1.64752e-06	1.1472e-05	1.62333e-05	7.00294e-06	1.0173e-05	1.79577e-05	4.34292e-07	7.80387e-06	1.52756e-05	3.38549e-06	1.09497e-05	5.49196e-06	1.90174e-05	1.34078e-05	8.07085e-06	1.25405e-05	1.08592e-05
ko04080: Neuroactive ligand-receptor interaction	0	0.000221234	0.000184068	3.59236e-05	0.000261267	0.000469571	0.000556363	0.000345056	7.86535e-05	0.000302893	0.000409106	0.000640259	0.000487015	0.000381223	7.62018e-06	0.000364124	0.000230831	0.000363479	0.000309419	0.000402084	0.000614597	0.000415903	0.000233347	0.000299242	0.00042549
ko04110: Cell cycle	0	0.00183577	0.000680381	0.000174233	0.00163645	0.00262499	0.00117107	0.00207092	0.00040502	0.00204285	0.00218076	0.00186104	0.00210802	0.00411917	6.91055e-05	0.00413706	0.00352789	0.00288405	0.00354217	0.00286717	0.00483906	0.00117943	0.00194129	0.00356512	0.00365295
ko04111: Cell cycle - yeast	1.2451e-05	8.68978e-05	5.01882e-05	1.57797e-05	0.000146563	0.000146506	0.000230384	0.000130375	2.51003e-05	0.000176101	0.000210086	9.27649e-05	0.000114413	0.000206544	5.08949e-06	0.00017962	0.000110663	0.000171775	0.000201358	0.000242908	0.000178701	0.000282342	6.7014e-05	0.000194375	0.000152757
ko04112: Cell cycle - Caulobacter	0.0140069	0.00247203	0.000868038	0.00015987	0.00328437	0.00253886	0.0046	0.00236007	0.000245018	0.00129471	0.00245943	0.00190936	0.00192898	0.00124321	0.000221604	0.00110136	0.00162582	0.00203825	0.000979227	0.00193541	0.00146425	0.00500874	0.00266049	0.00216353	0.00159409
