PercentCoverage	SRR317085	SRR317086	SRR317087	SRR317088	SRR317089	SRR317090	SRR317091	SRR317092	SRR317093	SRR317094	SRR317095	SRR317096	SRR317097	SRR317098	SRR317099	SRR317100	SRR317101	SRR317102	SRR317103	SRR317104	SRR317105	SRR317106	SRR317107	SRR317108	SRR317109
taxid:284812|Schizosaccharomyces_pombe_972h-	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000599999999995	0	0	0	0	0	0	0
taxid:284813|Encephalitozoon_cuniculi_GB-M1	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:285951|Gracilaria_tenuistipitata_var._liui	0	0	0	0.0821	0.3486	0.3383	0	0	0	0	0.124	0	0.1757	0	0	0	0	0	0	0	0	0	0.2795	0	0
taxid:286636|Streptococcus_pyogenes_MGAS10394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439	0	0	0	0	0	0	0	0	0	0
taxid:288000|Bradyrhizobium_sp._BTAi1	0.0034	0.1601	0.0544	0.0854	0.0098	0.0279	0.0208	0.0089	0.0404	0.0185	0.0334	0.0936	0.1123	0.0163	0.0143	0.0062	0.0579	0.0089	0.0071	0.0249	0.0089	0.0152	0.0089	0.0527	0.0081
taxid:2880|Ectocarpus_siliculosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.338	0	0
taxid:288705|Renibacterium_salmoninarum_ATCC_33209	0	0.1606	0.0547	0	0	0.1135	0	0.012	0.1079	0	0.1011	0.1722	0	0.0193	0.2297	0.117	0.1935	0.0777	0.1396	0.1504	0.1705	0.2492	0.1567	0.1198	0.1442
taxid:289376|Thermodesulfovibrio_yellowstonii_DSM_11347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0	0	0	0	0.0038	0	0
taxid:289380|Clostridium_perfringens_SM101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0026	0	0	0
taxid:2898|Cryptomonas_paramecium	0	0	0	0.0952	0.5919	0	0	0	0	0	0	0	0.193	0	0	0	0	0	0	0	0	0	0.7849	0	0
taxid:290315|Chlorobium_limicola_DSM_245	0	0	0	0	0	0.0027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0032	0	0
taxid:290338|Citrobacter_(diversus)_koseri_ATCC_BAA-895	0	0.0595	0.0385	0	0	0.1127	0	0.0016	0.0031	0.0016	0.0016	0	0	0	0.0129	0	0	0.0099	0	0	0.0016	0	0.0016	0	0
taxid:290339|Cronobacter_sakazakii_ATCC_BAA-894	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0.0034	0	0	0	0	0	0	0	0
taxid:290340|Arthrobacter_aurescens_TC1	0	0.0443	0	0.0131	0.00289999999999	0.0833	0.0043	0	0	0.0037	0.0015	0.0058	0.0015	0.0015	0.0014	0	0	0	0.0015	0.0432	0.0043	0.0014	0.0131	0.0102	0
taxid:290398|Chromohalobacter_salexigens_DSM_3043	0	0	0	0	0.002	0	0	0.0041	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0.002	0
taxid:290399|Arthrobacter_sp._FB24	0	0	0	0	0	0.0015	0	0.0015	0	0	0	0	0	0.0045	0.0275	0	0	0	0.009	0	0.0134	0.0276	0	0	0.0149
taxid:2903|Emiliania_huxleyi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2262	0	0	0	0	0	0	0	0	0	0
taxid:290400|Jannaschia_sp._CCS1	0	0	0	0.004	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0
taxid:290402|Clostridium_beijerinckii_NCIMB_8052	0	0	0.0844	0	0.0163	0.3174	0	0	0	0	0	0	0.0012	0	0.0013	0	0	0	0.0013	0	0	0.4454	0	0.0013	0
taxid:290512|Prosthecochloris_aestuarii_DSM_271	0	0	0	0.00289999999999	0	0.00289999999999	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0
taxid:292414|Ruegeria_sp._TM1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0
taxid:292415|Thiobacillus_denitrificans_ATCC_25259	0	0	0.0104	0.0026	0.0989	0.0468	0	0.0272	0	0	0	0	0	0	0.0131	0	0.0228	0.0026	0	0	0	0	0	0	0.0053
taxid:292564|Cyanobium_gracile_PCC_6307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0	0
taxid:293614|Rickettsia_akari_str._Hartford	0	0	0	0.0062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:293826|Alkaliphilus_metalliredigens_QYMF	0	0.0015	0.0154	0.0441	0.2411	0.0015	0.0015	0	0	0	0	0.0495	0.0451	0	0.0292	0	0.0316	0	0	0	0	0.0442	0.1118	0.0031	0
taxid:294747|Candida_tropicalis_MYA-3404	0	0	0	0	0	0	0	0	0.000500000000003	0	0	0	0	0	0	0	0	0.000500000000003	0	0	0	0	0	0	0
taxid:295405|Bacteroides_fragilis_YCH46	0	0	0	0.9923	0.2595	0.01	0	0	0	0	0.0014	0.1479	0.6141	0.5601	0	0.0343	0.0382	0	0.0467	0.012	0.0014	0.2295	0.0469	0	0
taxid:296543|Thalassiosira_pseudonana_CCMP1335	0	0.000500000000003	0.000299999999998	0.0038	0.004	0.000500000000003	0.0014	0.0021	0	0.000199999999995	0.0078	0.0078	0.000299999999998	0.0026	0.0013	0.00250000000001	0	0.000999999999995	0.0017	0	0.000800000000001	0.000999999999995	0.005	0.0059	0.0031
taxid:296587|Micromonas_sp._RCC299	0	0	0.0004	0	0	0	0	0	0.0004	0	0	0	0	0.0004	0	0.0004	0	0.0004	0	0	0	0.0004	0	0	0
taxid:296591|Polaromonas_sp._JS666	0	0	0	0	0.0217	0.0026	0.011	0.0187	0.0013	0.0064	0	0	0.0026	0	0	0	0.0073	0	0	0	0	0	0.0013	0.0026	0
taxid:298653|Frankia_sp._EAN1pec	0	0.000800000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00250000000001	0
taxid:298654|Frankia_sp._EuI1c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0043	0	0	0	0	0	0	0	0
taxid:299768|Streptococcus_thermophilus_CNRZ1066	0	0	0	0	0	0	0	0	0	0.0042	0.0084	0	0	0	0.1321	0	0	0.0043	0	0	0	0	0	0.0436	0
taxid:300267|Shigella_dysenteriae_Sd197	0	0	0	0	0	0	0	0.0116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:300268|Shigella_boydii_Sb227	0	0.013	0	0	0	0	0.00329999999999	0	0	0	0	0.0054	0.0065	0	0	0.1357	0.00329999999999	0	0	0.0065	0.0118	0	0	0	0
taxid:300269|Shigella_sonnei_Ss046	0	0	0.0045	0.0045	0	0.0455	0	1.1086	0	0	0	0	0.00599999999999	0.0458	0.0096	0.0243	0.003	0	0	0.1035	0	0	0	0.0015	0.0388
taxid:300852|Thermus_thermophilus_HB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0
taxid:306263|Campylobacter_lari_RM2100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0831	0	0	0	0	0	0	0	0	0	0
taxid:306264|Campylobacter_upsaliensis_RM3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0822	0	0	0.0303	0.0505	0	0	0	0	0	0
taxid:306537|Corynebacterium_jeikeium_K411	0	0	0	0	0	0.003	0	0.0092	0	0	0	0	0	0	0	0	0.0119	0.0031	0.0031	0	0	0.0031	0	0.0031	0.0093
taxid:3077|Chlorella_vulgaris	0	0	0.0498	0	0	0.0505	0	0	0	0	0	0	0	0	0.0498	0	0	0	0	0	0	0	0.2184	0	0
taxid:311402|Agrobacterium_vitis_S4	0	0.00599999999999	0	0	0	0	0	0	0	0	0.0072	0.0012	0.0144	0	0	0	0	0	0	0	0	0	0	0.0012	0
taxid:311403|Agrobacterium_radiobacter_K84	0	0	0	0.00830000000001	0	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0.000999999999995
taxid:312153|Polynucleobacter_necessarius_subsp._asymbioticus_QLW-P1DMWA-1	0	0	0	0.0035	0.0035	0	0	0	0	0	0	0	0	0	0.0037	0	0	0	0	0	0	0	0	0	0
taxid:312309|Vibrio_fischeri_ES114	0	0	0	0	0	0	0	0	0	0	0	0	0.0178	0	0	0	0	0	0	0	0	0	0	0	0
taxid:31312|Nephroselmis_olivacea	0	0	0	0.0309	0	0	0	0	0	0	0	0	0.0309	0	0	0	0	0	0	0	0.1227	0	0.0309	0	0
taxid:313612|Lyngbya_sp._PCC_8106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0011	0	0
taxid:313627|Bacillus_sp._NRRL_B-14911	0	0.0161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:313628|Lentisphaera_araneosa_HTCC2155	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:314225|Erythrobacter_litoralis_HTCC2594	0	0.0357	0.005	0.0348	0	0	0	0	0	0	0	0.00250000000001	0.0224	0	0	0	0.0024	0.00250000000001	0	0	0.0024	0	0.0028	0.0148	0.0024
taxid:314253|Nitrobacter_sp._Nb_311A	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0
taxid:314288|Vibrio_alginolyticus_12G01	0	0	0	0.0857	0.0857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:314315|Lactobacillus_sakei_subsp._sakei_23K	0	0.0403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:314565|Xanthomonas_campestris_pv._campestris_8004	0.0017	0	0	0	0	0	0	0	0.0016	0	0.0111	0.0015	0	0.0076	0.0309	0	0	0.016	0	0.0137	0	0	0.0073	0	0
taxid:314607|beta_proteobacterium_KB13	0	0	0	0	0.0113	0.0428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00559999999999	0	0
taxid:31532|Lactococcus_phage_sk1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2671	0	0	0.2671	0	0	0	0	0	0	0
taxid:31537|Lactococcus_phage_c2	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3428	0	0	0	0	0	0	0	0	0	0	0
taxid:316055|Rhodopseudomonas_palustris_BisA53	0	0.007	0	0	0	0	0	0	0	0	0.0057	0	0.0028	0	0	0	0	0	0	0.0069	0	0	0	0.0014	0
taxid:316056|Rhodopseudomonas_palustris_BisB18	0	0.0014	0	0.0014	0	0	0	0	0.0055	0.0014	0	0	0.0028	0	0	0.0014	0.0014	0.0028	0	0	0	0	0	0.0014	0
taxid:316057|Rhodopseudomonas_palustris_BisB5	0	0.0015	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0.0016	0	0	0	0	0	0.0015	0.003	0
taxid:316058|Rhodopseudomonas_palustris_HaA2	0	0.0014	0	0	0.0014	0	0	0	0	0.0014	0	0	0.0014	0	0	0.0057	0	0	0	0.0014	0	0.0128	0	0	0
taxid:316273|Xanthomonas_campestris_pv._vesicatoria_85-10	0	0	0	0.0014	0	0	0.0028	0	0	0	0	0	0.0015	0	0.0014	0	0	0	0	0	0	0	0	0.0014	0
taxid:316274|Herpetosiphon_aurantiacus_DSM_785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112	0
taxid:316275|Aliivibrio_salmonicida_LFI1238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00790000000001	0	0
taxid:316278|Synechococcus_sp._RCC307	0	0	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0068	0	0
taxid:316385|Escherichia_coli_DH10B	0	0	0	0	0	0	0	0	0	0	0	0	0.0252	0	0	0	0	0	0	0	0	0.0046	0	0	0
taxid:316401|Escherichia_coli_ETEC_H10407	0	0	0	0.0651	0	0.0044	0	0.0669	0	0	0	0	0.18	0.0058	0	0	0	0.035	0	0	0.0089	0	0.0238	0	0
taxid:316407|Escherichia_coli_str._K-12_substr._W3110	0	0	0	0	0	0	0	0.2629	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0
taxid:317655|Sphingopyxis_alaskensis_RB2256	0	0.132	0.0443	0.0764	0.0158	0.0023	0.0103	0.0163	0.0338	0.0255	0.0517	0.0314	0.0811	0	0.0348	0.0045	0.0203	0.0135	0.025	0	0.0076	0.0045	0.0135	0.0584	0.0121
taxid:318161|Shewanella_denitrificans_OS217	0	0	0	0	0	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:318586|Paracoccus_denitrificans_PD1222	0	0.0015	0	0.0015	0	0	0	0.0015	0.0015	0	0.0014	0	0.00289999999999	0.0015	0	0.00289999999999	0.0015	0	0	0	0	0	0	0	0
taxid:319224|Shewanella_putrefaciens_CN-32	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:319225|Chlorobium_luteolum_DSM_273	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:31964|Clavibacter_michiganense_sepedonicum	0	0	0.0055	0	0	0.0022	0	0	0.0045	0	0	0	0	0	0	0.045	0	0	0	0.0022	0	0	0	0	0
taxid:319701|Streptococcus_pyogenes_MGAS6180	0	0	0	0.0257	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0714	0	0
taxid:319795|Deinococcus_geothermalis_DSM_11300	0	0	0	0.0211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0	0
taxid:320374|Burkholderia_pseudomallei_S13	0	0	0	0	0	0	0.000999999999995	0.000999999999995	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0	0	0	0	0
taxid:320831|Staphylococcus_phage_PT1028	0	0	0	0	0	0	0	0.4871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:321314|Salmonella_enterica_subsp._enterica_serovar_Choleraesuis_SC-B67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0822	0	0
taxid:321955|Brevibacterium_linens_BL2	0	0	0	0.0017	0	0.0069	0	0.0017	0	0	0.0017	0	0	0	0	0	0	0.0085	0	0	0	0.0017	0.0017	0	0
taxid:321967|Lactobacillus_casei_ATCC_334	0	0	0.021	0.041	0	0	0	0	0	0	0.00869999999999	0.0026	0	0.0036	0	0	0	0	0	0	0.0069	0	0	0	0
taxid:322159|Streptococcus_thermophilus_LMD-9	0	0.1629	0	0.1477	0	0.6544	0	0.1448	0.0388	0	0.2053	0.0039	0.4413	0.1498	0.6765	0	0.0771	0.1912	0.0647	0.157	0.0396	0.1446	0.2612	0.1092	0
taxid:322710|Azotobacter_vinelandii_DJ	0	0.0057	0.0057	0	0.0057	0.0028	0.0252	0	0.0042	0.0042	0.0099	0.0014	0.0057	0	0.0071	0.0028	0.0014	0.0099	0.0014	0	0.0042	0.017	0.0042	0.0014	0.0042
taxid:323097|Nitrobacter_hamburgensis_X14	0	0	0	0	0.0015	0	0	0	0.003	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:323098|Nitrobacter_winogradskyi_Nb-255	0	0	0	0	0.0092	0	0	0.0022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:323261|Nitrosococcus_oceani_ATCC_19707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0
taxid:323848|Nitrosospira_multiformis_ATCC_25196	0	0	0	0.0023	0.0311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0023	0	0
taxid:324057|Paenibacillus_sp._JDR-2	0	0	0	0	0.0105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:324831|Lactobacillus_gasseri_ATCC_33323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1765	0	0	0	0	0
taxid:326423|Bacillus_amyloliquefaciens_FZB42	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0	0.0196	0	0	0
taxid:330214|Candidatus_Nitrospira_defluvii	0	0	0	0.0018	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0064	0	0
taxid:330879|Aspergillus_fumigatus_Af293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000299999999998	0	0	0	0	0
taxid:331104|Blattabacterium_sp._(Blattella_germanica)_str._Bge	0	0	0	0.0139	0	0.014	0	0	0	0	0	0	0.0119	0	0	0	0	0	0	0	0	0	0.0421	0	0
taxid:331111|Escherichia_coli_E24377A	0	0	0	0	0	0.0884	0	0.0614	0	0	0	0	0	0	0	0	0	0	0	0.0014	0.0014	0	0	0	0
taxid:331112|Escherichia_coli_HS	0	0	0.109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:331113|Simkania_negevensis_Z	0	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0
taxid:331271|Burkholderia_cenocepacia_AU_1054	0	0	0	0	0.026	0	0.0115	0.000999999999995	0.01	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:331272|Burkholderia_cenocepacia_HI2424	0	0.0138	0.0317	0.0477	0.1448	0.0128	0.051	0.4007	0.059	0.0148	0.0215	0.0128	0.0451	0	0.1409	0.0275	0.0566	0.0139	0.000999999999995	0.0062	0.0455	0.0252	0.0509	0	0.000999999999995
taxid:331869|alpha_proteobacterium_BAL199	0	0	0	0.00250000000001	0	0	0.0012	0	0	0	0	0.00250000000001	0	0.0012	0	0	0	0	0	0	0	0	0	0	0
taxid:332648|Botrytis_cinerea_(B05.10)	0.000199999999995	0.000100000000003	0	0.000100000000003	0.000100000000003	0.000299999999998	0	0.000100000000003	0	0.0019	0	0.000100000000003	0.000900000000004	0.000100000000003	0.000100000000003	0.000199999999995	0.000100000000003	0	0.000100000000003	0	0.000199999999995	0	0	0.0011	0.000800000000001
taxid:332952|Aspergillus_flavus_NRRL3357	0	0	0	0.000199999999995	0.000199999999995	0.0004	0.000199999999995	0.000199999999995	0	0	0.000199999999995	0.000100000000003	0	0	0.000199999999995	0.000500000000003	0	0	0.0004	0	0.000199999999995	0	0	0	0
taxid:333668|Theileria_parva_strain_Muguga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0.0016	0	0
taxid:333849|Enterococcus_faecium_DO	0	0	0	0	0	0	0	0.0212	0	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0.0423	0	0
taxid:333990|Carnobacterium_sp._AT7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0062	0	0	0	0	0	0	0	0	0	0
taxid:334390|Lactobacillus_fermentum_IFO_3956	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0.1844	0.0036	0
taxid:334413|Finegoldia_magna_ATCC_29328	0.0046	0	0	0.1652	0	0	0	0.1321	0	0	0	0.0075	0	0.0115	0.0038	0	0.0038	0	0.0077	0.1299	0.0036	0.0038	0.2077	0	0
taxid:334819|Fusarium_verticillioides_7600	0.000199999999995	0	0.000199999999995	0	0	0	0	0	0	0	0	0	0	0	0	0.000199999999995	0	0.000199999999995	0.000199999999995	0	0	0	0	0	0
taxid:335283|Nitrosomonas_eutropha_C91	0	0	0	0	0.0513	0	0.0094	0.0318	0	0.0027	0	0.0055	0	0	0	0	0.0167	0	0.0027	0.0157	0	0	0	0	0
taxid:335284|Psychrobacter_cryohalolentis_K5	0.0032	0.0024	0	0	0	0.0024	0.0048	0	0	0	0	0	0	0	0.0147	0	0	0.0024	0	0.0059	0	0.0024	0	0	0
taxid:335541|Syntrophomonas_wolfei_Goettingen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026	0	0
taxid:335659|Bradyrhizobium_sp._S23321	0	0.0021	0	0.00520000000001	0	0	0.000999999999995	0	0.0053	0	0	0.0042	0	0	0.0031	0	0	0	0	0.0021	0.0042	0.0053	0	0	0
taxid:33653|Cafeteria_roenbergensis	0	0	0	0.563	0.4657	0.4055	0	0.5955	0	0	0	0	0	0	0	0	0.1738	0	0	0.1738	0	0	0.5538	0	0
taxid:337191|Gordonia_sp._KTR9	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0.0013	0	0.0013	0	0	0.00520000000001	0	0	0.0013	0	0
taxid:338187|Vibrio_campbellii_ATCC_BAA-1116	0	0	0	0.0013	0.0282	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:338473|Actinomyces_phage_Av-1	0	0	0	0	0	0	0	0	0	0	0.4426	0	0	0	0.4368	0	0	0	0	0	0	0	0	0	0
taxid:338966|Pelobacter_propionicus_DSM_2379	0	0	0	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0
taxid:338969|Rhodoferax_ferrireducens_T118	0	0	0	0	0.0015	0	0.0015	0.0076	0	0.0015	0	0	0.0015	0	0	0	0	0.0015	0	0	0	0	0	0	0
taxid:339670|Burkholderia_ambifaria_AMMD	0	0.000999999999995	0	0.000999999999995	0.000999999999995	0.004	0.016	0.0409	0.002	0.004	0.000999999999995	0.000999999999995	0.00599999999999	0.000999999999995	0.0081	0	0.0081	0.008	0.0101	0.007	0.002	0.002	0.002	0.002	0.000999999999995
taxid:339671|Actinobacillus_succinogenes_130Z	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:339860|Methanosphaera_stadtmanae_DSM_3091	0	0	0	0	0	0	0	0	0	0	0	0.0172	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:340099|Thermoanaerobacter_pseudethanolicus_ATCC_33223	0	0	0	0.00329999999999	0	0	0	0	0	0	0	0	0	0	0.0032	0	0	0	0	0	0	0	0	0	0
taxid:340100|Bordetella_petrii_DSM_12804	0	0	0	0	0.0014	0	0	0.0086	0.0115	0	0.0014	0	0	0	0.0072	0.0014	0	0	0	0.0144	0	0.0014	0	0.0028	0
taxid:340322|Corynebacterium_glutamicum_R	0	0	0	0	0	0	0	0.0326	0	0	0	0	0	0	0.0023	0	0	0	0	0	0.0023	0.0023	0	0	0
taxid:34116|Leptosira_terrestris	0	0	0	0	0.0436	0.0384	0	0	0	0	0.039	0	0	0	0	0	0	0	0	0	0	0	0.2824	0	0.0384
taxid:342108|Magnetospirillum_magneticum_AMB-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0
taxid:342109|Xanthomonas_oryzae_pv._oryzae_MAFF_311018	0	0	0	0	0	0.0092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:342110|Ralstonia_solanacearum_UW551	0	0.0026	0	0.0218	0.0513	0	0.0329	0.0342	0	0.0101	0.0013	0	0.014	0	0	0	0.0353	0	0	0.00790000000001	0	0.0051	0.0089	0	0
taxid:342451|Staphylococcus_saprophyticus_subsp._saprophyticus_ATCC_15305	0.0039	0	0	0.003	0	0.0086	0.0059	0.0522	0	0	0	0.0027	0	0	0.0118	0	0	0	0	0.00559999999999	0.00289999999999	0.003	0.003	0	0.003
taxid:342610|Pseudoalteromonas_atlantica_T6c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0
taxid:342613|Streptococcus_agalactiae_18RS21	0	0.6822	0.1892	1.2606	0.9402	2.562	0.0135	0.0034	0	0	0	0	1.2977	0	1.5011	0	0	0	0.2316	0	0	0.2585	0.481	0	0
taxid:342614|Streptococcus_agalactiae_515	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:342615|Streptococcus_agalactiae_H36B	0	0	0	0.0031	0	0	0	0	0	0	0	0	0.0034	0	0	0	0	0	0	0	0	0	0	0	0
taxid:344609|Shigella_boydii_CDC_3083-94	0	0	0.0432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:344612|Aspergillus_clavatus_NRRL_1	0	0.000500000000003	0.000199999999995	0	0	0.000199999999995	0.000299999999998	0.000500000000003	0.000199999999995	0.000500000000003	0.000199999999995	0.000199999999995	0.0012	0	0.000500000000003	0	0.000500000000003	0	0.000199999999995	0	0.000199999999995	0.000699999999998	0	0.000199999999995	0
taxid:344747|Planctomyces_maris_DSM_8797	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000999999999995	0	0	0	0	0
taxid:345219|Bacillus_coagulans_36D1	0	0	0.0086	0.0349	0.0683	0	0	0	0	0	0	0.0234	0.0356	0	0.0148	0	0	0	0	0	0	0	0.0425	0	0
taxid:347253|Streptococcus_salivarius_JIM8777	0	0	0	0.0034	0.0276	0	0.0034	0	0	0	0.0136	0.0237	0	0	0.0342	0	0	0	0	0	0	0.0275	0	0	0
taxid:347256|Mycoplasma_hominis_ATCC_23114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0114	0	0
taxid:347834|Rhizobium_etli_CFN_42	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0.0152	0	0	0	0	0	0.0012	0.0035	0
taxid:349101|Rhodobacter_sphaeroides_ATCC_17029	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0.0017	0	0
taxid:349102|Rhodobacter_sphaeroides_ATCC_17025	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329999999999	0
taxid:349106|Psychrobacter_sp._PRwf-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0051	0	0	0	0	0.00250000000001	0	0	0
taxid:349123|Lactobacillus_reuteri_100-23	0	0	0	0	0	0	0	0.00329999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:349124|Halorhodospira_halophila_SL1	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:349161|Desulfotomaculum_reducens_MI-1	0	0	0	0.1323	0.0699	0.0739	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0252	0	0	0.1586	0	0
taxid:349163|Acidiphilium_cryptum_JF-5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0.0038	0
taxid:349307|Methanosaeta_thermophila_PT	0	0	0	0	0	0	0	0	0	0	0	0.0081	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:349519|Leuconostoc_citreum_KM20	0.0053	0	0	0.004	0	0	0	0.004	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:349520|Paenibacillus_polymyxa_E681	0	0	0	0.0546	0.1356	0.0716	0.0014	0	0	0	0	0	0.0597	0	0	0	0	0	0	0	0	0	0.0769	0	0.0183
