PercentCoverage	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
taxid:290398|Chromohalobacter_salexigens_DSM_3043	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0.0024	0	0	0	0	0	0	0	0	0.0167	0	0	0	0	0	0	0	0	0	0	0	0
taxid:290399|Arthrobacter_sp._FB24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0.0016	0	0	0	0	0.0018	0	0	0.0054	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0.0018	0.0048	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0.00559999999999	0
taxid:2903|Emiliania_huxleyi	0	0	0	0	0	0	0	0.1637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2671	0	0	0	0	0	0	0	0	0	0	0	0.8339
taxid:290400|Jannaschia_sp._CCS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0
taxid:290402|Clostridium_beijerinckii_NCIMB_8052	0.0044	0.0615	0.052	0.0028	0.0147	0.0015	0.03	0.0186	0	0.0324	0	0.0015	0.0172	0	0.0216	0.0198	0.0194	0.0112	0.0554	0.0013	0.0285	0.0511	0.5309	0.0315	0.074	0.0514	0.0163	0.0292	0.0191	0.0015	0.0017	0	0.0045	0.003	0.0015	0.0048	0.0084	0.0015	0.2478	0	0.0031	0.0877	0.047	0.3815	0.0464	0.0419	0.0764	0	0.0028	0.0184	0.0015	0	0.0209	0.0084	0.0014	0.243	0.003	0.0283	0.0336	0.1792	0.0131	0	0.0553	0.0587	0.0078	0	0.0015	0	0.0106	0.0837	0	0.1962	0.0459	0.1785	0.0058	0.0027	0.1994	0.0148	0.0075	0.0028	0.0053	0.0306	0.102	0.0088	0.4372	0.0014	0	0	0.115
taxid:290434|Borrelia_garinii_PBi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166	0	0	0	0	0	0
taxid:290512|Prosthecochloris_aestuarii_DSM_271	0.0035	0	0.00329999999999	0.00329999999999	0	0.0031	0	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0036	0	0	0	0.0071	0	0	0	0	0	0	0.0035	0	0	0	0	0	0.00329999999999	0	0	0
taxid:290633|Gluconobacter_oxydans_621H	0.003	0	0.00289999999999	0.00289999999999	0	0	0	0	0	0	0	0	0.0115	0	0	0	0	0.0153	0.0039	0	0	0	0.0031	0.0031	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:291112|Photorhabdus_asymbiotica	0	0	0	0.0049	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0.0021	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0	0	0.0162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0017	0	0	0	0	0	0	0
taxid:291272|Candidatus_Blochmannia_pennsylvanicus_BPEN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0104	0	0	0	0	0	0.0114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:292414|Ruegeria_sp._TM1040	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0022	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:292415|Thiobacillus_denitrificans_ATCC_25259	0.0031	0.0062	0	0	0	0.0031	0	0	0.0153	0	0.0415	0	0.003	0	0	0	0	0.00289999999999	0	0	0	0	0.0061	0	0.0031	0	0	0.0031	0	0	0	0	0	0.0279	0	0	0	0	0	0	0	0.0062	0.0225	0.0085	0	0	0	0	0	0.0212	0	0	0	0	0.0385	0	0	0	0	0.0031	0	0	0	0	0	0.0186	0	0	0	0	0	0.0055	0	0.0057	0	0	0.0153	0	0	0.0026	0	0	0	0.0032	0	0	0	0	0
taxid:292459|Symbiobacterium_thermophilum_IAM_14863	0.0193	0	0.028	0.0078	0.015	0.0315	0.0632	0.0091	0.0075	0.0149	0.0101	0.0571	0.0467	0.0081	0.005	0.0073	0.0047	0	0.0094	0	0.0023	0.0675	0	0.0179	0.0051	0.0151	0.00250000000001	0.00250000000001	0.0047	0.0119	0.0244	0.00250000000001	0.0076	0	0.0183	0.0053	0	0.0048	0.0225	0.005	0.00250000000001	0.1335	0.00250000000001	0	0.0148	0	0.04	0.00250000000001	0	0.0419	0.0074	0.0048	0.0126	0	0.0291	0.0149	0.0049	0.0285	0	0.0286	0.0074	0.005	0.0654	0.0139	0.0075	0.00250000000001	0	0	0.0071	0.0212	0.0343	0.0072	0.1081	0.0099	0.0238	0.0143	0.0273	0.0119	0.0021	0	0.0164	0.0393	0.0195	0.00250000000001	0.0201	0.0163	0.0076	0.0633	0.0252
taxid:292564|Cyanobium_gracile_PCC_6307	0	0	0	0	0	0.0054	0.0107	0	0	0	0	0.00250000000001	0.0102	0	0.013	0	0	0	0.0024	0.0077	0	0.0104	0	0.00250000000001	0.0027	0	0.0053	0.0027	0	0.0027	0.0026	0	0	0	0	0.0028	0	0	0	0	0	0.0027	0	0	0.0051	0	0.0078	0	0	0.00250000000001	0	0	0	0	0.005	0.0026	0	0.0024	0	0.0162	0	0	0.0027	0	0	0	0	0	0.0062	0	0	0	0.0082	0	0.0081	0.0027	0	0.0054	0	0	0	0.00250000000001	0	0.0026	0.0027	0.0026	0	0.018	0.0133
taxid:292805|Wolbachia_endosymbiont_strain_TRS_of_Brugia_malayi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00830000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:293613|Rickettsia_canadensis_str._McKiel	0	0	0	0	0	0	0	0	0	0	0	0	0.0151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0074	0	0	0	0	0
taxid:293826|Alkaliphilus_metalliredigens_QYMF	0.0018	0	0	0.0068	0.0018	0	0.0243	0	0	0	0	0.0219	0.0221	0	0	0	0	0	0	0.0252	0	0	0	0	0.0351	0	0	0	0	0	0.0053	0.0018	0.0035	0	0	0	0	0.0274	0.0225	0	0	0	0.0017	0.0018	0.0038	0	0.0153	0	0	0.0068	0.053	0	0.0073	0	0	0.0018	0	0.0137	0	0.0018	0	0	0	0.0017	0	0.0068	0.0018	0	0.0131	0	0	0	0.0166	0	0.0371	0	0	0	0	0.0018	0	0.0017	0	0	0	0	0	0	0.0037
taxid:294747|Candida_tropicalis_MYA-3404	0	0	0	0.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000500000000003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000599999999995	0	0	0	0	0	0	0	0	0	0.000599999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:295319|Salmonella_enterica_subsp._enterica_serovar_Paratyphi_A_str._ATCC_9150	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1083	0
taxid:295358|Mycoplasma_hyopneumoniae_232	0	0	0	0	0	0	0	0	0	0	0	0.0101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:295405|Bacteroides_fragilis_YCH46	1.3829	1.9549	2.2236	1.9795	0.9287	2.5198	0.2223	2.7835	2.8179	1.246	3.4917	0.1806	0.1969	0.5109	1.7767	0.4936	10.0633	6.7833	0.2807	3.3892	1.4679	0.4829	1.8691	0.3321	0.2411	2.0322	0.3049	0.6199	0.4824	0.3582	1.438	0.5577	8.4575	2.665	0.8087	1.3998	7.492	0.3307	0.1851	0.1598	0.6054	0.0246	0.0935	0.0017	0.1309	0.176	0.5307	10.3194	1.5931	0.2013	1.6954	0.3224	1.1323	6.4307	1.0402	5.8011	3.2026	0.1761	0.1029	0.1112	0.193	0.0014	0.0374	0.5101	1.6944	1.5148	0.6538	0.5719	0.2301	0.3393	4.611	0.3212	0.0629	2.5331	0.3076	0.6101	1.3665	2.4357	1.6046	0.9161	2.2622	0.0694	0.4871	11.0217	0.6682	1.7404	0.8344	0.0265	2.6276
taxid:296543|Thalassiosira_pseudonana_CCMP1335	0	0	0	0	0	0	0	0.000599999999995	0	0	0	0.0024	0	0	0	0	0	0	0.000299999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0.000299999999998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:296587|Micromonas_sp._RCC299	0	0	0.0031	0.0004	0	0	0	0	0	0	0.0004	0	0	0	0	0	0	0	0.0031	0	0	0	0.0004	0	0	0	0	0	0	0	0	0	0	0	0.0013	0.000900000000004	0	0	0	0	0	0.0031	0	0	0	0.0004	0	0	0	0.0039	0	0	0	0	0	0	0.0013	0	0.0021	0	0	0	0.0019	0	0.0017	0	0	0.0004	0	0.0004	0	0.0004	0.0004	0	0.0004	0	0	0.002	0	0	0	0	0.0032	0.0004	0	0	0.0004	0.0018	0.0043
taxid:296591|Polaromonas_sp._JS666	0	0	0	0	0	0	0	0.0016	0	0	0.0015	0	0	0	0.0015	0	0.0026	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0	0	0.0031	0	0	0	0	0.0031	0	0	0	0.0015	0	0	0.0086	0	0	0.0015	0	0	0.0015	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0.0046	0.0015	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0.003	0
taxid:298386|Photobacterium_profundum_SS9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0.0026	0	0.0014	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0.00520000000001	0	0	0	0	0
taxid:298653|Frankia_sp._EAN1pec	0	0	0	0	0	0	0	0	0	0	0	0.000999999999995	0.000999999999995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000999999999995	0	0.000900000000004	0	0.004	0.003	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0.0028	0	0	0	0.000800000000001	0	0	0	0	0	0	0	0	0.000999999999995
taxid:298654|Frankia_sp._EuI1c	0	0	0	0	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0.00289999999999	0	0	0	0	0.000999999999995	0	0	0	0	0	0	0	0	0.000999999999995	0	0	0	0	0	0.000999999999995	0.000999999999995	0	0	0	0.000999999999995	0	0	0	0	0.000999999999995	0.000900000000004	0	0	0	0	0	0	0	0	0.000900000000004	0.000999999999995	0	0	0	0	0.000999999999995	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0038	0	0	0.0022	0	0.0028	0.0019	0	0	0	0	0
taxid:2986|Ochromonas_danica	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2169	0	0	0	0	0	0	0	0	0	0	0	0.2193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2193	0	0	0	0	0	0	0	0	0.2047	0	0	0	0	0	0	0
taxid:299768|Streptococcus_thermophilus_CNRZ1066	0	0	0.0095	0.0047	0	0	0.0104	0.1429	0.005	0.005	0.01	0.005	0.0049	0.0138	0	0	0	0	0	0	0	0	0.0678	0	0	0	0	0.005	0	0	0	0.005	0	0.0501	0	0	0	0.02	0	0	0	0	0	0.0078	0	0	0	0	0	0	0	0	0	0	0.0514	0.0149	0	0	0.005	0	0.0097	0	0	0	0.0199	0	0	0.005	0	0.0049	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0.005	0	0.005
taxid:300267|Shigella_dysenteriae_Sd197	0	0	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0	0	0	0	0.0182	0	0	0	0	0.0253	0	0.0019	0	0.0016	0	0	0	0	0	0.0019	0	0.0117	0	0	0	0	0	0	0	0	0	0.0575	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111	0	0	0	0	0	0	0.0237	0	0	0.0645	0
taxid:300268|Shigella_boydii_Sb227	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.095	0	0	0	0	0	0	0.3954	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0.0108	0	0	0	0	0	0	0	0	0	0	0	0	0.6889	0.0091	0	0	0	0.0019	0	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:300269|Shigella_sonnei_Ss046	0	0	0	0	0	0.7159	0.2153	0	0	0	0	0	0.0017	0	0.1997	0	0	0	0	0	0.0109	0.0264	0.1789	0	0	0	0	0	0	0.0037	0.3809	0	0	0	0	0	0.0103	0	0	0.0444	0	0	0.0445	0.035	0.1127	0	0	0	0.6151	0	0	0	0	0	0	0	0.5916	0.005	0	0	0.0186	0.1936	0	0.1454	0	0	0	0	0	0	0	0.0099	0	0	0.0341	0	0	0	0	0	0	0	0	0	0	0	0	0.2432	0
taxid:300852|Thermus_thermophilus_HB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0042	0	0.0043	0	0	0	0	0	0	0	0	0	0
taxid:304371|Methanocella_paludicola_SANAE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:3055|Chlamydomonas_reinhardtii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0391	0	0	0	0	0	0	0	0	0	0	0	0	0.0409	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0405	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.035	0	0	0	0	0	0	0	0	0	0	0
taxid:306254|Campylobacter_coli_RM2228	0.1532	0.1623	0.1141	0.1594	0.134	0.0724	0.0653	0.0776	0.0847	0.1346	0.0475	0.0907	0.0707	0.1781	0.1106	0.1134	0.1032	0.273	0.0787	0.1408	0.0447	0.1493	0.0336	0.142	0.125	0.206	0.1013	0.1176	0.1418	0.3838	0.078	0.1421	0.0661	0.0778	0.1361	0.0856	0.0263	0.1133	0.1027	0.0401	0.1292	0.2413	0.1105	0.0095	0.1317	0.0837	0.0921	0.2074	0.0337	0.0871	0.0438	0.1322	0.0441	0.3712	0.1003	0.1165	0.1094	0.0538	0.0472	0.0404	0.0803	0.0202	0.1156	0.0704	0.1448	0.0831	0.0795	0.1702	0.0697	0.144	0.0537	0.1014	0.128	0.1549	0.1077	0.0992	0.2337	0.0452	0.0536	0.1329	0.0843	0.0439	0.0605	0.0929	0.0698	0.0405	0.1765	0.0417	0.1315
taxid:306263|Campylobacter_lari_RM2100	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0053	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:306264|Campylobacter_upsaliensis_RM3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:306323|Streptococcus_phage_2972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:306537|Corynebacterium_jeikeium_K411	0	0	0.0103	0	0	0	0	0	0	0.0036	0	0	0	0	0	0	0	0	0.0117	0.0035	0	0	0	0	0	0	0.0036	0	0	0	0	0.0036	0.0036	0	0	0	0	0.0144	0	0	0.0073	0.0159	0.0036	0	0.0036	0.00329999999999	0	0	0	0.0034	0	0	0	0.0034	0	0.0072	0	0.0034	0	0.0036	0	0	0.0147	0	0	0	0	0	0	0.0035	0	0	0.0037	0	0	0	0	0	0	0	0	0	0.0061	0	0	0	0	0.0038	0.0104
taxid:3074|Parachlorella_kessleri	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2879	0	0	0.2153	0	0	0	0	0	0	0	0	0	0.4355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1436	0	0	0	0	0	0	0	0	0
taxid:3077|Chlorella_vulgaris	0	0	0.0564	0.0558	0	0	0	0	0	0	0	0	0	0	0	0.0684	0	0	0	0.2463	0	0	0	0	0.0498	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584	0	0	0.0598	0	0	0	0.0498	0	0	0	0	0.1474	0	0	0	0	0	0	0	0	0	0.0578	0.0478	0.0624	0	0	0	0	0	0.1447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0624	0.2516
taxid:3088|Acutodesmus_obliquus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:309799|Dictyoglomus_thermophilum_H-6-12	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0.0045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:309807|Salinibacter_ruber_DSM_13855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00250000000001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:311402|Agrobacterium_vitis_S4	0.0014	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0.0014	0	0	0.0013	0	0.0028	0	0	0	0	0	0	0	0	0	0	0	0.0071	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014	0	0	0.0014	0	0	0	0	0	0	0	0	0	0.0015	0	0	0	0	0	0	0	0	0	0.0014	0	0	0	0	0	0
taxid:311403|Agrobacterium_radiobacter_K84	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0034	0	0.000999999999995	0	0	0	0	0	0	0	0	0	0	0	0.0012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:311424|Dehalococcoides_sp._VS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0063	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
taxid:312153|Polynucleobacter_necessarius_subsp._asymbioticus_QLW-P1DMWA-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0	0	0	0	0	0.0161	0	0.0041	0.0095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0041	0	0	0	0	0	0.0037	0	0.0146	0	0	0	0
taxid:312309|Vibrio_fischeri_ES114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.002	0	0	0	0	0	0	0.0019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021
taxid:31312|Nephroselmis_olivacea	0	0	0.0345	0	0	0	0.0358	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1881	0	0	0	0	0	0	0	0.1869	0	0	0	0	0	0	0	0	0	0	0	0.1877	0	0	0	0	0	0	0	0	0	0	0.1971	0	0	0.256	0	0.2527	0	0	0.165	0	0	0	0	0.0703	0	0	0	0	0	0	0	0	0.1085	0.1816	0	0	0.2088	0	0	0	0	0	0	0	0
taxid:313595|Psychroflexus_torquis_ATCC_700755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
