kegg_modules	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
M00034: Methionine salvage pathway	0	0	0	0	0	0	0	0	0	0.000318662	0	1.62803e-06	0	0	0	0	0	0	0	0	0	3.02514e-07	0.000861769	0	0	0	0	0	0	2.10872e-05	0	0	0	0	0.000733528	0.000142705	0	0.0017037	0.00277633	0	0	2.13728e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00515039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00276473	0
M00035: Methionine degradation	0.00707658	0.00732719	0.00686411	0.00673482	0.00700465	0.00715497	0.0192245	0.00651158	0.00546419	0.00703184	0.00679552	0.00995957	0.0112954	0.00642307	0.00671422	0.0113988	0.00817557	0.0053836	0.00921179	0.00844264	0.00678202	0.0128483	0.00482359	0.00824732	0.00870548	0.010147	0.00773886	0.0148874	0.00684493	0.00650109	0.00459105	0.00762891	0.006021	0.00841326	0.00755273	0.0116478	0.00636084	0.00926025	0.00918794	0.00546537	0.00655601	0.0160388	0.00922605	0.0021646	0.0128865	0.00713089	0.00675242	0.0166464	0.00496019	0.00794276	0.00584384	0.00608107	0.0075773	0.00659807	0.00657169	0.00947671	0.00605394	0.00642154	0.00466291	0.010373	0.00896052	0.00730081	0.00882478	0.0138367	0.00697154	0.00757354	0.0074404	0.00656859	0.00920486	0.00766949	0.00900758	0.00627614	0.0105752	0.00913569	0.0123701	0.00572827	0.00854319	0.00721173	0.00678908	0.00736263	0.00649789	0.00877292	0.00787801	0.00712582	0.00670492	0.00722013	0.00848121	0.013124	0.0101701
M00036: Leucine degradation, leucine => acetoacetate + acetyl-CoA	0.00016001	0.000183478	0.000538229	0.000208993	0.000155559	0.000562021	0.000594973	0.000360919	0.000534583	0.00020596	0.000315495	0.000409588	0.000469409	0.000311538	0.00029666	0.000361811	4.5926e-08	0.000382563	0.000264574	0.000137569	0.000161033	0.00045713	5.38104e-05	0.000287849	0.0001948	0.000426116	0.000122531	0.000243957	0.00020926	0.000142078	9.2998e-05	0.000717654	0.000325107	0.00023205	0.000144661	0.00051679	0.000182422	0.000300351	3.12275e-05	0.000329743	0.000514165	0.000547142	0.000583389	8.42772e-08	0.000284968	2.59662e-09	0.000165029	0.000457698	7.32419e-05	0.000234157	0.000288314	0.000585619	0.000246586	0.000303942	0.000164508	0.000389753	0.000246233	7.26458e-08	0.000353347	0.00017709	0.000280959	0.00025745	0.000462705	0.000406017	0.000282076	0.000235483	0.000264339	0.000229347	0.000669344	0.000146313	0.000327974	0.000227478	0.000689328	0.000377181	0.000195239	0.000164823	0.000210836	9.31282e-05	0.000245315	0.000137605	0.000318151	0.000206008	0.000212182	4.17752e-06	0.000254115	0.000278002	0.000342873	0.000691488	0.000321766
M00037: Melatonin biosynthesis, tryptophan => serotonin => melatonin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00038: Tryptophan metabolism, tryptophan => kynurenine => 2-aminomuconate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00039: Lignin biosynthesis, cinnamate => lignin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00042: Catecholamine biosynthesis, tyrosine => dopamine => noradrenaline => adrenaline	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00044: Tyrosine degradation, tyrosine => homogentisate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.58974e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	1.93793e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00045: Histidine degradation, histidine => N-formiminoglutamate => glutamate	0.00243342	0.00192332	0.00139695	0.00342087	0.000513151	0.000444624	0.00358293	0.00260888	0.000420361	0.00135365	0.00226451	0.00431991	0.0018704	0	0.001927	0.00110167	0.00273119	0.00114945	0.0026533	0.00179813	0.000572212	0.00397892	0.0012777	2.15879e-06	0.00117097	2.15343e-08	0	0.000610384	7.29888e-08	0.00277664	2.10519e-06	0.00116787	0.00174234	0.000453358	0.00203702	0.000574613	0.00147727	0.00768158	0.00511864	0.00216131	0.00259923	0.002461	0.00225966	0.000865829	0.000546067	0.00281309	0.00402031	0.00134178	0.000444041	0.00174359	5.45968e-06	0	0.00126308	0.00649459	0.00289835	0.00115608	4.62859e-12	0.00175939	0.0051035	0.00534116	0.00345572	0	0.00794589	0.00119485	0.0033609	0.00184758	0.0026871	0	0.0019952	0.00511103	0.0012539	0.0056194	0.010294	0.0023634	0.00215673	0.00164335	0.00240261	0.000304526	0.000562739	0.00281726	0.00162443	0.000742652	0.00178162	0.000607306	0.00355288	0	0.00268856	0.0108893	0.00376487
M00046: beta-Alanine biosynthesis, cytosine / uracil => beta-alanine	0.000376716	0.000195962	0.000411271	0.000158899	0.000187419	0.000257426	0.000596624	0.00043231	0.000464604	0.000384133	0.000493518	0.000534447	0.00021217	0.000682473	0.000289228	0.000311878	0.000386161	0.000362472	0.000432116	0.000170409	0.000257833	0.000146236	0.000322672	0.000966994	0.000501423	0.000187412	0.000376929	0.000250059	0.000891128	1.32446e-06	8.57532e-06	0.000141527	0.000339499	0.000665644	0.000281415	0.000281023	0.000291577	0.000430569	6.31632e-05	0.000529835	0.000404112	0.000581411	0.000190031	0.000267029	0.000695706	8.19699e-05	0.000301961	0.000386099	0.000544879	0.000201906	0.000535394	0.00045971	0.000234789	0.00034107	0.000280065	0.000321175	7.90673e-05	0.000140242	0.000341881	0.000428439	0.000552238	0.000914918	0.0004183	0.000115194	0.000230212	0.00051436	0.000834551	0.000538808	0.000382876	0.000337365	0.000993527	0.000815907	0.00145817	0.000516494	0.000172482	0.000246755	0.000715301	0.000207995	0.000436428	0.000311853	0.000164035	0.000682627	0.000867704	0.000699624	0.000155394	0.000118218	0.000215869	0.000631661	0.000300538
M00048: Inosine monophosphate biosynthesis, PRPP + glutamine => IMP	0.0122503	0.0198437	0.0116859	0.0116338	0.0176902	0.0141415	0.0198391	0.0270857	0.0273807	0.0119693	0.0223547	0.0153253	0.0163658	0.00836463	0.014501	0.0171877	0.0145848	0.0276413	0.0118055	0.0167066	0.0156335	0.02942	0.0211356	0.0179871	0.0133337	0.00879099	0.0149489	0.0203278	0.0240735	0.0216636	0.0230416	0.0140256	0.0152292	0.0176858	0.0109824	0.018821	0.0092332	0.0302723	0.0147442	0.017875	0.0146519	0.0122385	0.016167	0.0269294	0.00894889	0.00980081	0.0210871	0.0218288	0.00998759	0.0157231	0.0130661	0.00846119	0.0168323	0.00773655	0.0139771	0.0155625	0.0221693	0.0160648	0.0288745	0.0204416	0.0221754	0.01979	0.0163219	0.0291343	0.0173517	0.00799853	0.018376	0.014521	0.0186205	0.00913917	0.013822	0.0125902	0.0188308	0.0213954	0.00988915	0.014775	0.0136924	0.0267619	0.0199684	0.00910424	0.0157789	0.0262113	0.0230143	0.0129182	0.0232524	0.00601379	0.0144801	0.027588	0.0267722
M00049: Adenine nucleotide biosynthesis, IMP => ADP/dADP,ATP/dATP	0.0246933	0.0232207	0.0274196	0.0256541	0.0239468	0.0213331	0.0203145	0.0241736	0.0273437	0.0251201	0.0222146	0.0282487	0.0175393	0.0169988	0.0229298	0.0270499	0.0160156	0.0254982	0.0229475	0.0232804	0.023705	0.0181547	0.0207586	0.0158814	0.024205	0.0249947	0.0175873	0.0207672	0.0302118	0.0270034	0.0220133	0.0273961	0.02061	0.0155962	0.0242046	0.0277244	0.034362	0.0185229	0.0206592	0.0255455	0.0196754	0.0186081	0.0192225	0.0255207	0.0271514	0.0179369	0.0191896	0.0223328	0.0280749	0.0197424	0.0267631	0.0271493	0.0244622	0.0298462	0.025441	0.01795	0.0289892	0.0190491	0.0379913	0.0202935	0.0240814	0.0162213	0.015912	0.0207395	0.0184739	0.0243439	0.0312858	0.028773	0.0245571	0.0279502	0.0285738	0.024316	0.0241876	0.0216322	0.022835	0.016223	0.0158153	0.0199555	0.029787	0.0220657	0.0117059	0.0169393	0.0227211	0.0288759	0.0188237	0.0237654	0.0195653	0.017187	0.0141863
M00050: Guanine nucleotide biosynthesis, IMP => GDP/dGDP,GTP/dGTP	0.0251531	0.0230913	0.0268494	0.0253696	0.023906	0.020797	0.020836	0.0236616	0.0269881	0.0256755	0.0217772	0.0279576	0.017464	0.0175175	0.0231252	0.0264826	0.0159689	0.0251808	0.0229431	0.0229293	0.0233252	0.0181153	0.0201389	0.0156763	0.0240653	0.0250058	0.0176708	0.0209444	0.0298983	0.0278705	0.0226432	0.0272093	0.0206944	0.0153359	0.0243727	0.0286704	0.0374049	0.0187257	0.0201674	0.0267939	0.019779	0.0187039	0.0189665	0.0260195	0.0261306	0.0178539	0.0191509	0.0226219	0.027981	0.0196111	0.0261232	0.028357	0.0249015	0.0321617	0.0251846	0.0177768	0.0300331	0.0192396	0.0376792	0.0201697	0.0235431	0.0171844	0.0156346	0.0202578	0.018238	0.023206	0.0316982	0.0289339	0.0245099	0.027575	0.0285353	0.0239815	0.0243365	0.0213877	0.0224007	0.0159011	0.0156994	0.0200484	0.0289158	0.0209981	0.0116168	0.0172123	0.021896	0.0276782	0.0186475	0.0244224	0.0195347	0.0169805	0.0137629
M00051: Uridine monophosphate biosynthesis, glutamine (+ PRPP) => UMP	0.035573	0.0379721	0.037225	0.0384596	0.0386151	0.0393062	0.0395934	0.0355659	0.0356018	0.0386633	0.0398623	0.0358886	0.0383628	0.0393231	0.035378	0.0396326	0.0396196	0.0375629	0.0395566	0.0380346	0.0394582	0.0398001	0.0304571	0.0401991	0.0371578	0.0380353	0.0382417	0.0382502	0.0367611	0.0330244	0.0270834	0.0374258	0.0375502	0.0402433	0.0348196	0.0393702	0.0402253	0.0380014	0.0299279	0.0381035	0.0397355	0.0450495	0.0445339	0.0228238	0.0405871	0.0398219	0.0374382	0.0416077	0.0380342	0.0389068	0.0361395	0.0371982	0.0408658	0.0354538	0.0382737	0.0411251	0.0327	0.0395223	0.0386657	0.032407	0.0389265	0.034833	0.0415211	0.0398249	0.0394929	0.038139	0.0378436	0.0358368	0.0390223	0.0370839	0.037162	0.0388581	0.0441223	0.0384392	0.0383793	0.0407455	0.0426127	0.0377107	0.0357347	0.0371881	0.0409608	0.0390719	0.0405292	0.0376036	0.0355723	0.0365725	0.0388879	0.034585	0.0351425
M00053: Pyrimidine deoxyribonuleotide biosynthesis, CDP/CTP => dCDP/dCTP,dTDP/dTTP	0.0121438	0.00545876	0.0115084	0.00206928	0.00202034	0.00183124	0.0123708	0.00706309	0.00912168	0.00241812	0.00506161	0.0108251	0.0116321	0.00368447	0.0060513	0.0123837	0.00466468	0.0100429	0.009859	0.00579568	0.00410492	0.00872982	0.00841109	0.00843338	0.00841962	0.010701	0.00684392	0.00841425	0.010808	0.011589	0.0123469	0.00711985	0.00354107	0.00193798	0.0079494	0.0150923	0.00421661	0.00183784	0.00967052	0.0127824	0.00569166	0.00522328	1.9305e-06	0.0155331	0.00935317	0.00364938	0.00682741	0.0132108	0.00207496	0.00969104	0.00517235	0.00205706	0.00216487	0.00724097	0.01083	0.00801728	0.0130855	0.00606435	0.00872751	0.00751947	1.58141e-06	0.00960989	0.00176711	0.0138731	0.00617805	2.65396e-05	0.00848814	0.00989925	0.012376	0.00449075	0.00553838	0.00716253	0	0.00654962	0.00853319	0.00325651	0.00489588	0.0150332	0.0113757	1.62638e-06	0.00341832	0.01161	0.00954373	0.00625525	0.00311789	0.00906726	0.00538638	0.00919	0.00941558
M00055: N-glycan precursor biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00056: O-glycan biosynthesis, mucin type core	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00057: Glycosaminoglycan biosynthesis, linkage tetrasaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00059: Glycosaminoglycan biosynthesis, heparan sulfate backbone	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00060: Lipopolysaccharide biosynthesis, KDO2-lipid A	0	0	9.05189e-05	0	0.00128962	0.0011571	0.00317179	0.00239965	1.19309e-06	0.0014496	0	0.00151663	0	0	0.00282962	0	0	0.000274688	0	2.63013e-06	0.00149572	0	0.00994133	0	0	0.00267794	0	0	7.3276e-05	0.00337829	0.0134216	0	0	0	0.00452328	0	0.00094943	0.0010681	0.00919561	0	1.86368e-06	0	8.0097e-05	0.00872934	0	0.00126038	0.0034591	0	0.00275998	0	0.00025829	0	0	0.00129693	0	0.00107734	0.00992334	0.00534684	0	0.00863735	0.00192531	0.00177898	0	0	1.53587e-06	3.58337e-05	0	0	0.000630269	0	0.00227393	0.00253591	0.000198826	6.155e-07	0.00297156	6.24418e-05	0	0.0051146	0	0.000349434	0.00134139	0	0	8.64165e-05	0.00387713	0	0	0.00590929	0
M00061: Uronic acid metabolism	0.0226803	0.0168308	0.0169658	0.0191618	0.0183174	0.0206631	0.0101454	0.0158543	0.0174427	0.0166826	0.0213511	0.0122422	0.0175785	0.0229683	0.0171645	0.0174391	0.014966	0.0128818	0.0154308	0.0163433	0.0254103	0.0100793	0.0194567	0.0192505	0.0148228	0.0143182	0.0204332	0.0155008	0.0168969	0.0189035	0.019333	0.0178134	0.0222648	0.0222422	0.0197052	0.0122473	0.0194315	0.0170862	0.0165348	0.0167019	0.0168848	0.0211924	0.0158453	0.00996101	0.0144136	0.0288506	0.0159507	0.0133044	0.0192651	0.0168386	0.0183754	0.0240793	0.0188595	0.0173602	0.0221671	0.019139	0.0148553	0.0290815	0.0117249	0.0170145	0.0159211	0.0278779	0.0259678	0.00930013	0.0168274	0.0187218	0.0136584	0.0168272	0.0137705	0.0194777	0.0121621	0.0173134	0.0139263	0.0167682	0.0120075	0.0212468	0.0156422	0.0116004	0.0219587	0.0161288	0.0189085	0.0225471	0.0143306	0.017403	0.0188644	0.0149521	0.0214552	0.0190707	0.0144594
M00064: ADP-L-glycero-D-manno-heptose biosynthesis	0.00346168	0.00285431	0.00446236	0.00285287	0.00273517	0.00281991	0.00406702	0.00272134	0.00416167	0.00498824	0.00317614	0.00509755	0.00364112	0.00514351	0.00503615	0.00591298	0.00547308	0.00888531	0.0060353	0.00358025	0.0033458	0.00302644	0.00566829	0.00319429	0.00634157	0.00199275	0.00279249	0.00307074	0.00398358	0.00515245	0.00805552	0.00771073	0.00445909	0.00336371	0.00357829	0.000768824	0.0036645	0.00316768	0.00528064	0.00258477	0.00181557	0.00251929	0.00169934	0.0129249	0.0055079	0.00268708	0.00263491	0.00418656	0.00305224	0.00477735	0.00489953	0.00334878	0.00218711	0.00255473	0.00213043	0.00320096	0.00575081	0.00360556	0.00370101	0.00524733	0.0045828	0.00637011	0.00141757	0.00254615	0.00237248	0.00183202	0.00328636	0.00505966	0.00231905	0.00606925	0.0082333	0.00108558	0.00176904	0.00359211	0.00343565	0.00248136	0.0040901	0.00222272	0.00177171	0.0040523	0.00288179	0.0025501	0.00163205	0.00238054	0.00364919	0.00467076	0.00597457	0.00416421	0.00408376
M00065: GPI-anchor biosynthesis, core oligosaccharide	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00072: Oligosaccharyltransferase	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00074: N-glycan biosynthesis, high-mannose type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00075: N-glycan biosynthesis, complex type	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00076: Dermatan sulfate degradation	1.47601e-05	0	8.17072e-06	0	0	5.4217e-10	0	0	0	0	1.60666e-06	0	0	0	0	0	0	0	0	0	0	0	0	5.23754e-06	0	1.93421e-06	9.43228e-07	0	0	0	1.82625e-18	0	0	0	6.79734e-10	0.000721059	0	0	6.48837e-10	1.88947e-05	0	0	1.75659e-06	0	0	0	2.50115e-07	0	0	0	0	0	0	0.000126233	0	0	0	1.78045e-08	0	4.61803e-10	0.000114553	1.11379e-07	0	6.24121e-07	0	0	3.79228e-06	0.000191465	5.99518e-06	0	0	0	0	1.65166e-06	0	0	4.93228e-06	0	0	0	0	3.14735e-06	1.32835e-07	0	0	0	0	9.6709e-10	0
M00077: Chondroitin sulfate degradation	0.00120253	0.000709964	0.000674667	0.000780853	0.000841846	0.000557272	0.000773032	0.00084525	0.00162396	0.00100446	0.000379241	0.000744515	0.000570587	0.00144415	0.00156025	0.00097648	0.00104117	0.00115881	0.00115297	0.00090683	0.000546069	0.0012616	0.000114729	0.000685126	0.000835411	0.000535865	0.000760819	0.000548526	0.00151834	0.00117786	0.000132419	0.00138843	0.00157433	0.000538022	0.000993837	0.00158242	0.00344492	0.000450114	0.000283168	0.00108369	0.000863008	0.000219527	0.000894317	1.96215e-06	0.000557461	0.000217648	0.000290572	0.00130424	0.000703451	0.000600623	0.00143059	0.00168682	0.00132932	0.000628946	0.00079573	0.00061359	0.000491821	0.000875674	0.000993689	1.47269e-05	0.000854274	0.000458969	0.00067638	0.00045763	0.000378981	0.00144692	0.00168198	0.00108317	0.00142921	0.000582942	0.000844615	0.000532246	0.000322191	0.000674672	0.000296939	0.000266821	0.0012909	0.000406033	0.00171451	0.00134191	0.000554981	0.000590117	0.000131604	0.0011543	0.000855377	0.0018241	0.000752588	0.000309383	0.000425069
M00078: Heparan sulfate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.28315e-07	0	0	0	0	0	0
M00079: Keratan sulfate degradation	0.00157873	0.00166243	0.00133633	0.00144563	0.00176234	0.00194673	0.00095406	0.00129715	0.00199682	0.00221914	0.00136194	0.00157655	0.000981066	0.00255782	0.00166461	0.00176584	0.00136656	0.00187649	0.00168209	0.00148623	0.000928698	0.00105135	0.000782873	0.00120864	0.00133993	0.00131032	0.00139449	0.00103488	0.0015427	0.00260436	0.000626811	0.00238426	0.00175203	0.00116652	0.00134894	0.002564	0.00470675	0.00136731	0.00116082	0.00243006	0.00147125	0.000591143	0.00137585	9.95122e-06	0.00115162	0.00102054	0.000979269	0.00229197	0.0010852	0.00117894	0.0024223	0.00358894	0.00235403	0.00193406	0.00154269	0.00120931	0.00236923	0.00111389	0.00196014	0.000525644	0.00106925	0.000559532	0.00105272	0.00068936	0.000950023	0.00188621	0.00335329	0.00197243	0.00196819	0.00127774	0.00214927	0.000743559	0.000940313	0.00151131	0.000732695	0.000333888	0.00216357	0.000825278	0.00250841	0.00208288	0.000802832	0.00137023	0.00055537	0.00188069	0.00104971	0.00264859	0.00251546	0.000374903	0.000875452
M00080: Lipopolysaccharide biosynthesis, inner core => outer core => O-antigen	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00082: Fatty acid biosynthesis, initiation	3.1073e-07	2.83203e-07	0	5.32153e-08	9.05174e-08	7.91618e-10	9.49059e-10	7.86087e-07	1.39203e-08	1.03819e-06	6.36217e-06	2.23908e-06	1.75812e-07	1.50006e-09	0	8.07154e-06	0	0	2.58218e-06	1.20345e-07	1.66693e-06	4.8955e-08	4.12883e-16	1.07838e-06	5.62912e-08	7.74563e-08	1.19034e-06	1.1609e-06	8.5248e-08	3.38284e-13	3.56256e-16	1.97753e-07	1.0812e-06	2.07598e-07	8.60998e-09	2.22846e-07	4.06751e-09	4.0964e-07	2.00738e-11	6.1955e-07	1.87972e-07	5.98918e-08	6.9341e-07	2.21324e-13	6.98803e-07	4.26029e-07	1.07153e-06	2.38285e-08	1.58029e-09	2.64454e-07	1.24315e-07	0	1.29412e-08	0	7.78358e-08	1.1301e-08	0	5.44589e-09	2.14085e-07	1.9043e-11	7.72149e-08	5.74856e-10	9.70605e-08	1.63731e-07	1.11456e-07	3.64688e-07	0	2.30575e-07	9.1011e-08	9.871e-09	1.3779e-07	0	5.29422e-09	3.04743e-06	2.65012e-09	1.38397e-08	0	7.30925e-08	1.92189e-08	0	0	4.00878e-07	8.11208e-07	2.10359e-07	6.80216e-08	3.87644e-08	4.87386e-09	0	1.19553e-06
M00088: Ketone body biosynthesis, acetyl-CoA => acetoacetate/3-hydroxybutyrate/acetone	0	0	0	0	0	0	0	0.00048152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.08355e-08	0	0.000586861	0	0.000186999	0	4.35937e-07	0	0	0	0	0	0	0.000483925	0	0	0.000345464	0	0	0	0	0	0.000257643	0	0	0	0	0	0	0	0	0.000251685	0	0	0	0	0.00043739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00024158	0	0	0	0	0	0	0
M00089: Triacylglycerol biosynthesis	0	0	0	0	0	1.79362e-09	0	0	0	0	0	0	0	5.68876e-06	0	0	0	1.85413e-08	0	0	0	5.58603e-07	0	0	0	2.6969e-09	0	0	0	0	0	0	0	0	0	6.70853e-08	9.73767e-09	0	0	2.83717e-08	0	0	0	0	1.46448e-09	0	0	0	0	7.90676e-08	0	2.5939e-09	5.61107e-07	0	0	0	0	0	0	0	0	0	0	0	0	0	5.22523e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.96223e-08	0	0	0	0	0
M00094: Ceramide biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.86122e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
