kegg_pathways	MMRS11288076ST	MMRS11664448ST	MMRS11932626ST	MMRS12272136ST	MMRS14379078ST	MMRS14602194ST	MMRS15137911ST	MMRS16644320ST	MMRS17603756ST	MMRS17963147ST	MMRS18295921ST	MMRS20257302ST	MMRS21365932ST	MMRS24340226ST	MMRS25211151ST	MMRS25641480ST	MMRS29805707ST	MMRS31306426ST	MMRS32573774ST	MMRS33294861ST	MMRS34525504ST	MMRS34569532ST	MMRS35808664ST	MMRS36405092ST	MMRS38861560ST	MMRS38954404ST	MMRS39415781ST	MMRS39582183ST	MMRS40913371ST	MMRS41266697ST	MMRS41711735ST	MMRS42570301ST	MMRS42780924ST	MMRS43563715ST	MMRS43939546ST	MMRS44197125ST	MMRS44203591ST	MMRS44587603ST	MMRS47662059ST	MMRS47685461ST	MMRS48639115ST	MMRS51307502ST	MMRS51410669ST	MMRS51728985ST	MMRS51737257ST	MMRS54246132ST	MMRS54316675ST	MMRS55294627ST	MMRS56137463ST	MMRS57276462ST	MMRS57569834ST	MMRS59699117ST	MMRS61683006ST	MMRS62192467ST	MMRS62376181ST	MMRS62666492ST	MMRS64281211ST	MMRS64281551ST	MMRS65205033ST	MMRS65742083ST	MMRS65862658ST	MMRS65945127ST	MMRS66868025ST	MMRS67096717ST	MMRS67690541ST	MMRS68630931ST	MMRS68910755ST	MMRS71238091ST	MMRS71762412ST	MMRS72802364ST	MMRS72980899ST	MMRS73787048ST	MMRS77018926ST	MMRS77321055ST	MMRS77487595ST	MMRS78791111ST	MMRS79893829ST	MMRS80093644ST	MMRS81130264ST	MMRS81135225ST	MMRS81671217ST	MMRS84085284ST	MMRS84159866ST	MMRS84954772ST	MMRS85382779ST	MMRS85438660ST	MMRS85548821ST	MMRS86168210ST	MMRS95277876ST
ko00550: Peptidoglycan biosynthesis	0.020316	0.0204146	0.0197122	0.02001	0.0192242	0.0189494	0.0200196	0.0196612	0.0194477	0.0197027	0.0217174	0.0208487	0.0195791	0.0184031	0.0202955	0.019645	0.0198113	0.0190734	0.0191745	0.0194125	0.0220331	0.0214101	0.0209114	0.0198395	0.0197553	0.0216893	0.0199985	0.022365	0.0200409	0.0195872	0.0192045	0.0191469	0.0191703	0.0213112	0.0192891	0.0204706	0.0187039	0.0218925	0.018953	0.0184437	0.0190416	0.020824	0.0205916	0.0190529	0.0209639	0.0223391	0.0213433	0.0194314	0.0196229	0.0213583	0.0203674	0.0193981	0.0195279	0.019748	0.0200958	0.0206548	0.0196615	0.0215948	0.0234274	0.0200056	0.0203476	0.0177663	0.0212628	0.020413	0.0202977	0.0186204	0.0202342	0.0192099	0.0189501	0.01856	0.0195382	0.0192648	0.0239448	0.0201647	0.0204068	0.0203303	0.0199766	0.0192274	0.0192271	0.0199091	0.0208732	0.019587	0.0194835	0.0189148	0.0201454	0.0187687	0.0196741	0.0238393	0.0229562
ko00561: Glycerolipid metabolism	0.00476648	0.00441058	0.00479162	0.00411355	0.0049264	0.00496901	0.00572027	0.00516046	0.00417906	0.00451704	0.00397748	0.00509682	0.00463346	0.0039802	0.00459437	0.00520618	0.00459596	0.00404172	0.00529909	0.00491921	0.00368283	0.00474316	0.00481523	0.00510759	0.00496828	0.00495071	0.00493821	0.00494415	0.00489823	0.00515353	0.00507097	0.00425872	0.00418233	0.00464472	0.00531185	0.0047782	0.00386103	0.00506798	0.00549698	0.00548821	0.00533307	0.00535161	0.00483156	0.00745586	0.00490143	0.00448732	0.00409577	0.00426836	0.00448496	0.00462043	0.00463125	0.00411961	0.00462758	0.00576556	0.00444484	0.00467999	0.00485713	0.00382438	0.00424802	0.00495546	0.00524142	0.00606566	0.00484448	0.00463785	0.00504149	0.00475647	0.00506223	0.00463781	0.00482042	0.00490389	0.00492815	0.0053999	0.00477617	0.00486532	0.00482829	0.00542494	0.00426324	0.00532484	0.00408381	0.00372103	0.00494235	0.00464801	0.00522017	0.0045327	0.00543866	0.00448587	0.00462103	0.00568525	0.00499026
ko00562: Inositol phosphate metabolism	0.002614	0.00268669	0.00286397	0.00277319	0.00280342	0.00280046	0.00233922	0.00258808	0.00264579	0.00252073	0.00285292	0.00274153	0.00240816	0.00289748	0.00267852	0.00257225	0.00273532	0.00294234	0.0028887	0.00264702	0.00292399	0.00258945	0.00279276	0.00258388	0.00282322	0.00249829	0.00274113	0.0033335	0.00232756	0.00288158	0.00206038	0.00312121	0.00326748	0.00300593	0.00244184	0.00277994	0.00294898	0.00308097	0.00276517	0.00282104	0.00288874	0.00271183	0.00268006	0.0021828	0.00250086	0.0028974	0.00255681	0.00273461	0.00267359	0.00267301	0.00264115	0.00280801	0.00267175	0.00301548	0.00274264	0.00304189	0.00279818	0.00292633	0.00227775	0.00306299	0.00236532	0.00217639	0.00234598	0.00313027	0.00274055	0.00364549	0.00274155	0.00300892	0.00300393	0.00305408	0.00248586	0.0030089	0.00234858	0.00231845	0.00247191	0.00252489	0.00305068	0.00281661	0.00261998	0.00287601	0.00236673	0.00275904	0.00281204	0.00267671	0.00238191	0.00321243	0.00319831	0.00263129	0.00251674
ko00563: Glycosylphosphatidylinositol(GPI)-anchor biosynthesis	1.04056e-05	1.20796e-05	1.17892e-05	6.98741e-06	1.03327e-05	1.20262e-05	8.84332e-06	1.77134e-06	1.33073e-05	7.13441e-06	3.43455e-06	1.01171e-05	3.86563e-07	9.19502e-06	1.8989e-05	3.69428e-07	1.67284e-05	1.4653e-05	2.7917e-05	2.01446e-05	1.42793e-06	3.58101e-06	2.18036e-05	2.53576e-07	4.1736e-07	2.5138e-05	2.09614e-05	1.75763e-05	7.05812e-06	3.82681e-06	1.14334e-05	1.95565e-05	2.01625e-06	2.00301e-05	7.5224e-06	2.18947e-05	9.13403e-06	9.07129e-06	3.45492e-07	2.82242e-05	8.75889e-06	6.16791e-06	6.23849e-06	2.90007e-05	7.10409e-06	3.55582e-05	1.02206e-05	5.65247e-06	1.63638e-06	2.03653e-06	1.8555e-05	9.62365e-06	2.01053e-05	2.06096e-05	1.16967e-05	1.69854e-05	1.97673e-05	1.45829e-05	3.40978e-06	1.21145e-07	6.11078e-07	1.71446e-05	1.43033e-05	7.39161e-06	2.84883e-05	8.3313e-06	2.1143e-05	2.05939e-05	3.06184e-05	1.46137e-05	7.18288e-06	1.54758e-06	1.21566e-05	3.81129e-05	2.44517e-06	1.56799e-05	0	2.3178e-05	5.21627e-06	1.3058e-05	5.2259e-08	1.93898e-06	1.57808e-05	1.46691e-05	1.01908e-05	1.37908e-06	9.53041e-06	2.29639e-05	1.65966e-05
ko00564: Glycerophospholipid metabolism	0.00591638	0.00615284	0.00576844	0.00579426	0.00611285	0.00597856	0.00577716	0.00642392	0.00583264	0.00581082	0.0061572	0.00606995	0.00553838	0.00537506	0.00626213	0.00623486	0.00654534	0.00588409	0.00578937	0.00607092	0.00631592	0.0060068	0.0067071	0.00570975	0.00573564	0.00594055	0.00609431	0.00635883	0.00560209	0.00592515	0.00654041	0.00555887	0.00644013	0.00563624	0.00606063	0.00555881	0.00537388	0.00564734	0.00647787	0.00576205	0.00600887	0.00526229	0.00568611	0.00781552	0.00624155	0.00577503	0.00576796	0.00569454	0.0055947	0.00591001	0.00484412	0.00514814	0.00569231	0.00612848	0.00617694	0.00556227	0.00610136	0.0059065	0.00592806	0.00569019	0.00652298	0.00534104	0.00565139	0.00589543	0.00632524	0.00580558	0.00558567	0.00578593	0.0063227	0.00623069	0.00561135	0.00603808	0.00553729	0.0060927	0.00631459	0.00627782	0.00525459	0.00591602	0.00611349	0.00623505	0.00625585	0.00563154	0.00569149	0.00652412	0.00624104	0.00579432	0.00572347	0.00654783	0.00623685
ko00565: Ether lipid metabolism	8.48456e-05	0.000191332	0.000116958	7.90407e-05	0.000195061	0.000371228	0.000339978	0.000164525	8.78218e-05	0	0.00025283	0.000217804	0.000107517	1.94164e-05	0.000149333	0.000262598	2.33039e-05	0.000140498	0.000231167	0.000117254	8.33325e-05	0.000235109	0	0	0.00037694	0.00015861	5.78048e-05	0	5.76447e-05	9.65258e-05	0	0.00013812	8.414e-05	0.000332439	3.66327e-05	0.000247169	6.91195e-05	0.000369295	0.000180717	0.000363958	0.000125817	0.000237589	0.000266453	0.00106265	0.00013877	8.96903e-05	0.000104786	0.000226007	3.7327e-05	0.000238573	0.00010776	7.13031e-05	4.31658e-05	0.000260871	8.21133e-05	0.000136364	0.000308976	4.54933e-05	6.86856e-05	0.000159333	7.66215e-05	0.000163153	0.000274134	7.92167e-05	0.000144329	1.70481e-05	5.86256e-05	0.000116714	0.000112961	7.98704e-05	0.00021024	0.000342991	0.000266075	0.000109486	0.000152736	0	0.000154897	0.000189485	8.62536e-06	0.000116697	7.04204e-05	0.000118362	0.000115399	0.000175004	0.000184434	3.49439e-05	0.000241609	0.000357935	0.000365141
ko00590: Arachidonic acid metabolism	0.000309821	0.000446103	0.000417164	0.000550019	0.0004977	0.000303037	0.000456081	0.000267403	0.000379486	0.000337712	0.00072659	0.000386425	0.000129727	0.000394461	0.000531876	0.000389327	0.000321161	0.000189734	0.000467979	0.00023351	0.00101025	0.000216869	0.000814231	0.000400223	0.000385863	0.000289576	0.000204535	0.000416088	0.000648533	0.000650049	0.000726357	0.000354515	0.000413707	0.00052551	0.000355674	0.000534679	0.000892739	0.000431533	0.000769965	0.000466344	0.00043616	0.000163308	0.00018768	0.00104619	0.00039633	0.000667799	0.000533589	0.00044997	0.000517896	0.000371524	0.000680965	0.00065602	0.000470642	0.000377235	0.000407413	0.000426888	0.00100258	0.000690161	0.0010489	0.000729184	0.00031297	0.000160037	0.000131721	0.00044498	0.000302087	0.000341867	0.00056419	0.000455602	0.00036246	0.000951568	0.000488255	0.000600422	0.000395086	0.000384018	0.000361166	0.000473323	0.000114698	0.00042214	0.000708729	0.000334557	0.000448107	0.000612878	0.000280365	0.000585461	0.000600804	0.000521404	0.000631754	0.000595857	0.000261242
ko00591: Linoleic acid metabolism	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.75112e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko00592: alpha-Linolenic acid metabolism	6.37279e-06	0.000351335	5.52336e-06	5.22791e-06	1.39151e-05	0.000347195	0.000414858	0.000258232	0.000279366	4.34929e-06	0.000225323	0.00019544	6.82935e-06	7.30971e-06	7.15835e-06	9.14535e-06	5.81058e-06	2.57145e-05	2.54413e-05	5.23957e-06	0.000179006	0.000267717	0.0011365	8.65001e-06	8.79062e-06	0.00020841	6.11201e-06	0.000298531	1.40675e-05	0.000535456	0.00170977	0.000851127	1.06159e-05	0.000240845	6.03019e-06	0.000431645	6.62337e-06	0.000337287	0.000935213	0.000494594	9.03559e-06	0.000449562	0.000241514	0.0019579	0.000447338	0.000297937	0.000366043	0.000331067	8.13843e-06	4.6952e-06	0.000233234	7.72536e-06	7.87139e-06	1.58836e-05	7.94593e-06	0.000285293	0.000441637	7.09699e-06	0.00016222	0.00127459	9.40263e-06	0.000356724	0.000476858	9.43013e-06	8.94782e-06	3.41874e-06	0.000358282	0.000664589	0.000348567	7.00034e-06	1.24031e-05	6.13482e-06	0.000290953	9.3511e-06	0.000593353	1.68423e-05	0.000158471	0.000390852	6.04037e-06	7.13792e-06	6.45752e-06	0.00053339	0.000305691	7.52227e-06	0.000322837	6.69386e-06	8.33702e-06	0.000795773	0.000352301
ko00600: Sphingolipid metabolism	0.00433507	0.00396454	0.0041445	0.0038517	0.00519369	0.00450101	0.0035252	0.00388217	0.00435061	0.00544356	0.0045778	0.00413344	0.00310241	0.00545404	0.00453775	0.00428602	0.00394638	0.00427824	0.00420456	0.00535689	0.0039599	0.00347113	0.00394102	0.00476181	0.00439372	0.00397325	0.0051178	0.00300593	0.00553287	0.00616469	0.00445741	0.00475126	0.00365154	0.00416345	0.00475582	0.00544203	0.00752778	0.00388503	0.00439505	0.00539586	0.00494557	0.00339008	0.00405685	0.00264799	0.00416591	0.00434032	0.00380231	0.00489068	0.00463864	0.00326956	0.00557965	0.00603461	0.00522356	0.00550399	0.00428999	0.00396337	0.00602524	0.00551961	0.003684	0.00356254	0.0041937	0.0051219	0.00268278	0.00414624	0.00383024	0.00489819	0.00663794	0.0046461	0.00530675	0.00479112	0.00404051	0.00438304	0.00321024	0.00371445	0.00326056	0.00373396	0.00456053	0.00314235	0.0056628	0.00406462	0.00419511	0.00470853	0.00327031	0.00514305	0.00448458	0.00588837	0.00488919	0.00311152	0.00336062
ko00601: Glycosphingolipid biosynthesis - lacto and neolacto series	1.78393e-05	4.35984e-05	8.99828e-06	3.17718e-05	6.48589e-05	1.23101e-05	1.27544e-05	4.37198e-05	3.47912e-05	1.50893e-05	7.30056e-06	1.8983e-05	0	2.6093e-05	1.99744e-05	3.32896e-05	5.14351e-05	2.858e-05	2.83645e-05	2.59717e-05	0	3.0239e-06	3.41868e-05	1.45835e-05	2.72345e-05	4.87084e-05	5.56419e-05	1.74932e-05	2.7681e-05	5.36471e-06	4.91933e-06	2.428e-05	8.59807e-05	4.27597e-06	8.36657e-06	2.63172e-05	9.52528e-05	1.36188e-07	9.92548e-06	6.00423e-05	3.92454e-05	0	3.90272e-05	0	0	9.98585e-06	2.9982e-05	3.75456e-05	7.37016e-05	2.18442e-05	6.92914e-05	4.20633e-05	4.33209e-05	0	4.73517e-05	1.5401e-05	7.06975e-06	1.1436e-05	2.34443e-07	2.73018e-06	2.57752e-05	9.48901e-05	5.03574e-06	5.88898e-06	4.33545e-05	5.15713e-05	1.79668e-05	3.13644e-05	6.4872e-05	5.89776e-05	3.0839e-05	4.87192e-07	4.71965e-05	0	1.99329e-05	2.00212e-05	4.08004e-05	5.58868e-05	4.45826e-05	4.65743e-05	8.87841e-06	5.05524e-05	2.02428e-05	1.7762e-05	2.40199e-05	4.88645e-06	7.19663e-05	3.01511e-06	9.31224e-06
ko00603: Glycosphingolipid biosynthesis - globo series	7.28662e-05	9.26484e-05	0.000131419	6.62251e-05	8.84509e-05	0.000157796	7.02027e-05	8.03297e-05	7.7118e-05	7.54256e-05	0.000108309	6.82643e-05	0	0.000122838	0.00011375	0.000150084	8.98682e-05	0.000101356	0.000134655	7.8094e-05	5.04483e-05	5.87382e-05	7.88457e-05	7.4605e-05	0.000109708	0.000110199	0.000156113	6.55714e-05	5.74351e-05	0.000119818	7.90317e-05	0.00012473	0.000117967	6.27311e-05	0.000115522	0.000125276	0.000306687	7.82474e-05	6.21712e-05	9.30213e-05	5.09885e-05	0.000100438	0.000142735	9.71625e-06	0.000110794	4.3622e-05	7.39484e-05	9.24029e-05	0.000116393	5.31438e-05	6.11351e-05	0.000121895	0.000111253	0.000146674	8.64884e-05	8.61597e-05	0.000164308	7.43064e-05	0.000125645	5.62159e-05	8.82736e-05	8.71764e-05	5.94614e-05	3.33347e-05	8.03029e-05	5.74226e-05	0.000172484	0.000145661	0.000125345	0.000134629	0.000114096	8.60048e-05	7.94158e-05	0.000101024	9.10981e-05	5.51577e-05	9.65839e-05	0.000128018	0.00010103	0.000131192	0.000109802	0.000192345	7.93083e-05	0.000100572	5.57664e-05	3.82139e-05	8.66181e-05	6.57583e-05	0.000118096
ko00604: Glycosphingolipid biosynthesis - ganglio series	0	0	0	0	0	0	0	0	0	0	0	2.41109e-05	0	0	0	0	0	0	0	0	0	0	4.49974e-08	0	0	0	0	0	0	0	0	0	0	3.23355e-08	0	0	0	0	1.24933e-07	4.82663e-08	0	1.74778e-07	1.1926e-05	0	0	0	0	0	0	0	0	0	0	0	0	1.65186e-07	0	2.14724e-07	0	0	0	0	0	0	0	0	1.9781e-07	0	0	0	9.18707e-07	2.43551e-07	0	0	0	0	0	0	0	0	3.75021e-08	0	2.76346e-07	0	0	0	0	0	1.21304e-05
ko00620: Pyruvate metabolism	0.0142762	0.0140104	0.0145678	0.0142206	0.0141781	0.0138476	0.0147263	0.0139009	0.0146538	0.0140935	0.0129333	0.0139842	0.0153899	0.0135831	0.0145529	0.0141079	0.0144598	0.01399	0.0146734	0.0139289	0.011776	0.013963	0.0124046	0.0138902	0.0141151	0.0144532	0.0141093	0.0143198	0.0138995	0.0136992	0.0130941	0.0136617	0.0138187	0.0134751	0.0141136	0.0139697	0.0136189	0.0136727	0.0136755	0.0141249	0.0136107	0.0144477	0.0144504	0.0127472	0.0140441	0.0130088	0.0134839	0.0139445	0.0135934	0.0141559	0.0129507	0.0140403	0.0138319	0.0142448	0.0141727	0.0143416	0.013845	0.0128187	0.0119027	0.0134583	0.0145351	0.01465	0.015057	0.0135964	0.0144847	0.0138313	0.0136757	0.0139249	0.0127225	0.0137975	0.0142848	0.0146701	0.0134166	0.0144202	0.0137815	0.0136938	0.014489	0.0146424	0.0134259	0.0143209	0.0135262	0.0143622	0.0149936	0.0139484	0.0137231	0.0138835	0.0139353	0.0137973	0.014945
ko00621: Dioxin degradation	0	0	1.25425e-06	0	3.56937e-05	8.88173e-08	9.41762e-06	1.37133e-06	0	1.44597e-06	0	3.30154e-06	0	0	0	0	0	5.53259e-06	0	4.30515e-05	1.49113e-06	0	4.40795e-05	8.9819e-05	1.49496e-06	3.55719e-05	0	8.75948e-05	0	2.04751e-05	0.00369517	0	2.52234e-06	1.21009e-06	0.000123664	7.57299e-07	9.38145e-07	0	0.00406594	1.49683e-06	0	7.56181e-06	2.64329e-07	0.00686705	3.74179e-05	7.34175e-06	1.17299e-05	0	2.41854e-06	0	0	0	5.60422e-06	2.56445e-06	3.78869e-05	8.65652e-05	1.74718e-05	3.44282e-06	0	0.00339872	5.81919e-06	7.50087e-05	2.59721e-06	7.90146e-05	8.40932e-07	2.64111e-07	7.29016e-07	0	0	9.98967e-07	5.02139e-06	9.63691e-05	5.2652e-06	4.61516e-05	1.93979e-05	9.54377e-07	8.6673e-08	3.43946e-06	9.50454e-08	0	2.5681e-06	0	2.17838e-05	0	2.41304e-05	1.54333e-06	0	0.00255166	6.32057e-06
ko00622: Xylene degradation	9.23784e-06	8.79025e-07	2.55739e-06	1.87067e-06	0.00190719	2.01435e-06	2.02474e-06	2.79206e-06	3.46773e-06	5.31169e-06	9.4002e-06	1.225e-06	3.48984e-06	1.59754e-06	2.36859e-06	1.7155e-06	1.96284e-06	3.57931e-06	3.8281e-06	7.13884e-06	2.78734e-06	7.48174e-07	1.24496e-05	5.35211e-06	4.34783e-06	2.51544e-06	1.37754e-06	1.2474e-06	2.67453e-06	4.58632e-06	1.59341e-05	2.46035e-06	3.15922e-06	1.37472e-06	0.00239308	4.04073e-06	3.72346e-06	1.83001e-06	4.78249e-06	4.81052e-06	0.00201385	6.03594e-06	2.06553e-06	5.74001e-06	1.8143e-06	5.7422e-06	1.91502e-05	2.93049e-06	0.0021765	2.86687e-06	1.66459e-06	5.7865e-06	2.16488e-06	3.05211e-06	1.74087e-06	1.83795e-06	3.03095e-06	7.84077e-07	9.57459e-07	1.36484e-05	3.45457e-06	2.48245e-05	1.29085e-05	1.18571e-06	2.92525e-06	3.42382e-06	3.1023e-06	1.98435e-06	6.61495e-06	2.65755e-06	3.07305e-06	2.92908e-06	2.68205e-06	6.6356e-06	2.51428e-06	4.47662e-06	2.19463e-06	3.08226e-06	3.77878e-06	4.02439e-06	5.56122e-06	3.92471e-06	1.51995e-06	2.05788e-06	4.00565e-06	1.1356e-06	3.98673e-06	1.16808e-05	9.56651e-06
ko00623: Toluene degradation	1.70486e-05	1.67614e-05	4.58014e-06	1.97973e-05	1.7771e-05	3.13022e-05	3.96071e-05	2.65941e-05	1.3554e-05	1.68873e-05	3.493e-06	1.2594e-05	3.91989e-06	4.89832e-06	2.04963e-05	5.87667e-06	1.25015e-05	2.83085e-05	1.30194e-05	1.89776e-05	3.83077e-06	1.12561e-05	0.00543787	5.48294e-06	2.70947e-05	1.57302e-05	2.60702e-06	5.60443e-06	9.16843e-06	3.50506e-06	0.00607467	7.5165e-06	7.3984e-06	6.84126e-06	3.53032e-05	2.19637e-05	2.52939e-06	3.31799e-05	0.00473264	4.49565e-06	1.35594e-05	1.40812e-05	7.71559e-06	0.00599265	1.34463e-05	2.92311e-05	3.7067e-05	2.48832e-05	1.70001e-05	9.1313e-06	3.46105e-05	3.91115e-06	2.19886e-05	3.24115e-06	2.87009e-06	1.19082e-05	9.25638e-05	3.0795e-05	1.30911e-05	0.00509007	5.4897e-06	7.74233e-05	1.78773e-05	8.55804e-06	5.03194e-06	1.08737e-05	5.22162e-06	3.94946e-06	6.51858e-06	4.76451e-06	1.17432e-05	3.54497e-05	5.67542e-06	5.77363e-06	6.1377e-05	1.55223e-05	4.44557e-06	6.88486e-05	2.56274e-05	1.07273e-05	4.46066e-06	1.72845e-06	1.83782e-05	1.35498e-05	6.62304e-05	4.85429e-06	5.4886e-06	0.00359523	8.29168e-06
ko00624: Polycyclic aromatic hydrocarbon degradation	0.00307019	0.00308189	0.00309178	0.00288591	0.00310926	0.00303442	0.00277626	0.00311892	0.00287492	0.00283235	0.00293831	0.00281399	0.00300914	0.00288356	0.00253696	0.00283024	0.00285087	0.00252912	0.00316433	0.00307493	0.00278156	0.00312467	0.00274542	0.00303761	0.00315479	0.00310107	0.00316445	0.00276576	0.0031065	0.00257423	0.00246838	0.00293348	0.00253243	0.00301691	0.00302753	0.00311874	0.00266241	0.00313041	0.00308792	0.0029481	0.00314838	0.00299212	0	0.00232804	0.00299312	0	0.00288035	0.00268091	0.00278523	0.00269891	0.0026029	0.00289012	0.0029582	0.00263938	0.00270662	0.00307227	0.00265014	0.00275888	0.00327346	0.00314536	0.00278486	0.00289988	0.00339881	0	0.00296664	0.00289706	0.00270898	0.00286979	0.002242	0.00274468	0.00275161	0.00306031	0.00326087	0.00319253	0.00282274	0.00284261	0.00270667	0.00267284	0.00310193	0.00266755	0.00288334	0.00263879	0.00294625	0.00281661	0.00293407	0.00231515	0.00280857	0.0033986	0.00296077
ko00625: Chloroalkane and chloroalkene degradation	0.00570386	0.00500555	0.00612962	0.00523416	0.00594511	0.00556351	0.00691396	0.00563791	0.00514577	0.00577238	0.0048886	0.0062324	0.0054843	0.00478599	0.00577886	0.0055879	0.00479036	0.00545265	0.00610101	0.00568832	0.00384531	0.00487824	0.00511735	0.00637182	0.00610373	0.00569891	0.00521388	0.00544994	0.00610209	0.00562811	0.00634788	0.00615489	0.00502005	0.00517773	0.00637152	0.00595784	0.00491052	0.00615741	0.00618483	0.00628766	0.00627253	0.00692018	0.00597914	0.00816	0.00621568	0.00483284	0.00530062	0.00537609	0.00536571	0.00573394	0.00471033	0.00479427	0.00538648	0.00625245	0.00578206	0.00480533	0.0057579	0.004965	0.00441487	0.00608506	0.00595342	0.00861194	0.00563772	0.00586079	0.00534189	0.00526486	0.00503564	0.00599094	0.00528727	0.00584347	0.00662356	0.00600834	0.00533755	0.00528367	0.00499533	0.00492977	0.00613696	0.00605149	0.00527282	0.00424213	0.00538267	0.00516249	0.00662582	0.00559245	0.00541053	0.00467792	0.00501531	0.00651216	0.00591929
ko00626: Naphthalene degradation	0.00486751	0.00469121	0.00552903	0.00490156	0.00515028	0.00488728	0.00636235	0.005111	0.00525647	0.00545774	0.00453082	0.00577261	0.00489376	0.00534739	0.00558448	0.0051271	0.00445078	0.00558719	0.00573875	0.00503941	0.00419061	0.00447301	0.00480087	0.00493123	0.00558977	0.00555106	0.00517029	0.00521929	0.00495926	0.00544169	0.00506569	0.00602142	0.00463554	0.00492315	0.00505964	0.0060791	0.00510578	0.00525604	0.00579372	0.00608668	0.00509265	0.00555165	0.00516024	0.0063765	0.00533868	0.00419945	0.0050864	0.00537662	0.00493192	0.00502828	0.00477848	0.00473545	0.00533625	0.00647737	0.00522152	0.00450302	0.00612781	0.00455599	0.00425077	0.00525687	0.00503875	0.00647105	0.00500241	0.00480985	0.00471304	0.00500307	0.00546042	0.00594681	0.00507216	0.00504161	0.00562621	0.00497011	0.00467634	0.00503149	0.00446968	0.0037152	0.00591412	0.00560759	0.00459986	0.00505261	0.00430375	0.00480212	0.00544575	0.00563987	0.00488552	0.00566911	0.00510782	0.00507017	0.00539002
ko00627: Aminobenzoate degradation	0.00156975	0.00158412	0.0014567	0.00156969	0.0015646	0.00171486	0.00192332	0.00190666	0.00197518	0.00157458	0.0010633	0.00164666	0.00157474	0.0017039	0.0019023	0.00171357	0.00139337	0.00183943	0.00161108	0.00126126	0.0008493	0.00160891	0.00179509	0.00132949	0.00158633	0.00168812	0.00171468	0.00156878	0.00193712	0.00183516	0.00219755	0.0017129	0.00183941	0.00129786	0.00141217	0.0016915	0.00170091	0.0013865	0.00217218	0.00188431	0.00135981	0.00140744	0.00149478	0.0029288	0.00147439	0.00112725	0.00136019	0.00193167	0.00159164	0.00110483	0.00150968	0.00174033	0.00178326	0.00184026	0.00152204	0.00106261	0.00214463	0.00115268	0.00138644	0.00206436	0.00137947	0.0017832	0.00157302	0.0013652	0.00158509	0.00159157	0.00201087	0.0018026	0.0017999	0.00142785	0.00182142	0.00147078	0.00138822	0.00163171	0.00148886	0.00121048	0.00153672	0.00187191	0.00190857	0.00178692	0.00123974	0.00145358	0.00142689	0.00153972	0.00131038	0.00196419	0.00188064	0.00169771	0.00147429
ko00630: Glyoxylate and dicarboxylate metabolism	0.00791785	0.00769388	0.00761332	0.00828327	0.00847366	0.00820518	0.00686138	0.00763424	0.00814992	0.00733367	0.00709564	0.0068793	0.00729211	0.00784743	0.00689542	0.00710543	0.00779267	0.00739839	0.00734777	0.00746687	0.00675032	0.00709485	0.00775866	0.00744531	0.00779148	0.00702549	0.00800965	0.0068195	0.00821359	0.00836524	0.00984224	0.00755985	0.00778342	0.00727004	0.00825532	0.00737367	0.00843668	0.00691762	0.00834161	0.00777068	0.00825691	0.00796093	0.00748105	0.0077941	0.00732881	0.00701728	0.0068225	0.00776847	0.00823317	0.00696658	0.00790928	0.00867402	0.007764	0.00701508	0.00815318	0.00710364	0.00764218	0.00708277	0.00675043	0.00752343	0.00779094	0.00767877	0.00815463	0.00699404	0.00778917	0.00823894	0.00748975	0.00750105	0.00755261	0.00783554	0.0079013	0.00784977	0.00713108	0.00722502	0.0072853	0.00756174	0.00718503	0.00725472	0.00781454	0.00798963	0.00758074	0.00706483	0.00683416	0.00765781	0.0084395	0.00758395	0.00754258	0.00781876	0.00660616
ko00633: Nitrotoluene degradation	0.00216793	0.00209147	0.00285107	0.00230049	0.00204738	0.00245411	0.00408272	0.00214685	0.00260886	0.00172627	0.00209047	0.0035858	0.00299738	0.00157782	0.00444127	0.00345905	0.00231851	0.00258033	0.00278936	0.00190055	0.00178307	0.0026502	0.00255438	0.0026782	0.00226206	0.00333259	0.00249768	0.00315112	0.00200893	0.00281398	0.00386002	0.00215251	0.00194673	0.00255747	0.00275074	0.00258082	0.00145817	0.00288077	0.00307378	0.00301136	0.00278415	0.0045805	0.00286767	0.00432242	0.00301502	0.00235205	0.00309807	0.00194598	0.00156068	0.00291555	0.00244715	0.00185189	0.00216069	0.00312754	0.00223147	0.00321702	0.00231817	0.00184634	0.00188728	0.00232157	0.00273228	0.00450212	0.0031427	0.00265852	0.00264205	0.00211531	0.0022297	0.00232935	0.00260865	0.00255408	0.00318228	0.00357347	0.00289818	0.00269076	0.00364317	0.00237141	0.00196857	0.00503263	0.00179597	0.0022309	0.00307989	0.0022337	0.00265999	0.00181668	0.00253031	0.00164329	0.00184643	0.00370062	0.00406811
