kegg_modules	CCIS00146684ST-4-0	CCIS00281083ST-3-0	CCIS02124300ST-4-0	CCIS02379307ST-4-0	CCIS02856720ST-4-0	CCIS03473770ST-4-0	CCIS03857607ST-4-0	CCIS05314658ST-4-0	CCIS06260551ST-3-0	CCIS07277498ST-4-0	CCIS07539127ST-4-0	CCIS07648107ST-4-0	CCIS08668806ST-3-0	CCIS09568613ST-4-0	CCIS10706551ST-3-0	CCIS10793554ST-4-0	CCIS11015875ST-4-0	CCIS11019776ST-4-0	CCIS11354283ST-4-0	CCIS11362406ST-4-0	CCIS11558985ST-4-0	CCIS12370844ST-4-0	CCIS12656533ST-4-0	CCIS13047523ST-4-0	CCIS14449628ST-4-0	CCIS15704761ST-4-0	CCIS15794887ST-4-0	CCIS16326685ST-4-0	CCIS16383318ST-4-0	CCIS16561622ST-4-0	CCIS17669415ST-4-0	CCIS19142497ST-3-0	CCIS20795251ST-4-0	CCIS21126322ST-4-0	CCIS21278152ST-4-0	CCIS22275061ST-4-0	CCIS22416007ST-4-0	CCIS22906510ST-20-0	CCIS22958137ST-20-0	CCIS23164343ST-4-0	CCIS24254057ST-4-0	CCIS24898163ST-4-0	CCIS25399172ST-4-0	CCIS27304052ST-3-0	CCIS27927933ST-4-0	CCIS28384594ST-4-0	CCIS29210128ST-4-0	CCIS29688262ST-20-0	CCIS31434951ST-20-0	CCIS32105356ST-4-0	CCIS32452666ST-4-0	CCIS33816588ST-4-0	CCIS34055159ST-4-0	CCIS34604008ST-4-0	CCIS35092938ST-4-0	CCIS35100175ST-4-0	CCIS36699628ST-4-0	CCIS36797902ST-4-0	CCIS37250421ST-4-0	CCIS38765456ST-20-0	CCIS40244499ST-3-0	CCIS41222843ST-4-0	CCIS41288781ST-4-0	CCIS41548810ST-4-0	CCIS41692898ST-4-0	CCIS41806458ST-4-0	CCIS44093303ST-4-0	CCIS44676181ST-4-0	CCIS44743950ST-4-0	CCIS44757994ST-4-0	CCIS45571137ST-3-0	CCIS45793747ST-4-0	CCIS46047672ST-4-0	CCIS46467422ST-4-0	CCIS47284573ST-4-0	CCIS47745468ST-4-0	CCIS48174381ST-4-0	CCIS48507077ST-4-0	CCIS48579360ST-4-0	CCIS48725289ST-4-0	CCIS50003399ST-4-0	CCIS50148151ST-4-0	CCIS50369211ST-20-0	CCIS50471204ST-4-0	CCIS50561855ST-4-0	CCIS51595129ST-4-0	CCIS51667829ST-4-0	CCIS52234160ST-4-0	CCIS52370277ST-4-0	CCIS53043478ST-4-0	CCIS53355328ST-4-0	CCIS53557295ST-4-0	CCIS54027808ST-4-0	CCIS55230578ST-4-0	CCIS55531770ST-4-0	CCIS56503244ST-3-0	CCIS58234805ST-4-0	CCIS59132091ST-4-0	CCIS59903910ST-4-0	CCIS61287323ST-4-0	CCIS62605362ST-3-0	CCIS62794166ST-4-0	CCIS63448910ST-4-0	CCIS63468405ST-4-0	CCIS63910149ST-4-0	CCIS64773582ST-4-0	CCIS64785924ST-20-0	CCIS65479369ST-4-0	CCIS70398272ST-4-0	CCIS71301801ST-4-0	CCIS71578391ST-4-0	CCIS72607085ST-4-0	CCIS74239020ST-4-0	CCIS74726977ST-3-0	CCIS76563044ST-4-0	CCIS76845094ST-20-0	CCIS77100899ST-4-0	CCIS77252613ST-4-0	CCIS78100604ST-4-0	CCIS78318719ST-4-0	CCIS79210440ST-3-0	CCIS80834637ST-4-0	CCIS81139242ST-4-0	CCIS81710917ST-20-0	CCIS81735969ST-20-0	CCIS81887263ST-4-0	CCIS82146115ST-4-0	CCIS82507866ST-3-0	CCIS82944710ST-20-0	CCIS83445808ST-4-0	CCIS83574003ST-4-0	CCIS83870198ST-4-0	CCIS84543192ST-4-0	CCIS85214191ST-3-0	CCIS87116798ST-4-0	CCIS87167916ST-4-0	CCIS87252800ST-4-0	CCIS87290971ST-4-0	CCIS87605453ST-4-0	CCIS88007743ST-4-0	CCIS88317640ST-4-0	CCIS90164298ST-4-0	CCIS90166425ST-4-0	CCIS90443472ST-4-0	CCIS90903952ST-3-0	CCIS91228662ST-4-0	CCIS93040568ST-20-0	CCIS94417875ST-3-0	CCIS94496512ST-4-0	CCIS94603952ST-4-0	CCIS95097901ST-4-0	CCIS95409808ST-4-0	CCIS96387239ST-4-0	CCIS98482370ST-3-0	CCIS98512455ST-4-0	CCIS98832363ST-4-0	CCMD11006829ST-21-0	CCMD12232071ST-21-0	CCMD13071240ST-21-0	CCMD13934959ST-21-0	CCMD14479708ST-21-0	CCMD18872694ST-21-0	CCMD19497912ST-21-0	CCMD23101338ST-21-0	CCMD25511638ST-21-0	CCMD25963797ST-21-0	CCMD26709089ST-21-0	CCMD26925580ST-21-0	CCMD34381688ST-21-0	CCMD35802077ST-21-0	CCMD40701343ST-21-0	CCMD42428553ST-21-0	CCMD45988061ST-21-0	CCMD46222674ST-21-0	CCMD46947453ST-21-0	CCMD48236717ST-21-0	CCMD50071957ST-21-0	CCMD51864103ST-21-0	CCMD60079086ST-21-0	CCMD63399960ST-21-0	CCMD64503764ST-21-0	CCMD64776337ST-21-0	CCMD72895164ST-21-0	CCMD74930188ST-21-0	CCMD79987997ST-21-0	CCMD82866709ST-21-0	CCMD86114146ST-21-0	CCMD86707194ST-21-0	CCMD87156761ST-21-0	CCMD88272491ST-21-0	CCMD90311071ST-21-0	CCMD93344354ST-21-0	CCMD95433940ST-21-0	CCMD96553385ST-21-0	MMPU29365221ST	MMPU68403337ST	MMPU72854103ST	MMPU84450604ST	MMPU99077057ST
M00173: Reductive citric acid cycle (Arnon-Buchanan cycle)	1.87822e-06	0	0	0	4.96662e-11	0	0	0	1.00692e-09	0	3.59129e-07	0	0	1.64785e-10	0	0	0	2.13798e-07	3.96782e-08	3.44505e-12	0	0	2.58893e-07	0	0	2.96315e-10	0	0	5.41725e-08	0	0	0	0	0	1.36724e-09	0	0	0	8.72824e-09	0	3.05332e-07	6.45683e-07	0	0	0	0	0	0	0	0	1.04833e-07	1.62341e-07	3.59589e-12	0	0	0	1.13999e-11	1.78391e-05	5.74661e-09	5.92253e-08	0	0	8.33152e-10	0	3.53476e-06	1.46018e-08	7.61663e-07	0	0	4.55873e-10	0	2.04731e-08	3.28962e-08	1.74167e-06	0	1.26826e-06	7.71925e-09	0	0	3.94259e-07	0	0	0	0	0	0	0	7.84642e-05	1.09969e-08	0	0	0	0	0	0	0	0	0	0	1.16952e-13	2.53737e-08	1.43431e-11	1.06721e-09	1.23566e-12	0	0	0	2.8337e-07	0	0	0	2.92741e-09	0	0	0	3.34953e-07	0	0	0	0	6.08804e-09	0	0	8.87402e-11	9.78877e-08	0	0	0	0	0.000798456	0	0	4.24155e-05	6.09067e-07	0	3.29544e-08	0	0	0	6.8924e-13	0	0	2.0369e-09	0	0	1.03547e-06	0	0	9.12688e-08	4.5789e-09	0	0	1.03422e-07	0	8.45007e-09	0	0	0	0	1.94176e-07	6.82675e-06	0	0	4.08322e-07	0	8.97742e-08	0	0	0	0	0	0	0	1.2022e-06	1.59321e-07	0	1.56073e-08	0	3.12494e-07	5.56401e-08	3.59852e-06	2.05115e-08	0	2.9619e-09	3.91832e-06	0	3.6162e-06	0	0	0	0	0	0	0	0	0	0	0	0
M00174: Methane oxidation, methylotroph, methane => CO2	0.000184128	7.11528e-07	0.000164443	4.29815e-05	1.85664e-05	6.45759e-05	2.65715e-05	5.20183e-05	0.000165875	6.58097e-05	1.45435e-05	2.37737e-05	1.12893e-05	3.45599e-05	1.36545e-05	0.000105035	0.000522046	0.000108026	0.0002237	2.39298e-07	1.69037e-05	8.0874e-06	0.000240387	4.4411e-05	0.000336845	0.000409342	0.000164103	1.72575e-05	1.3074e-05	8.57489e-06	1.01757e-06	0	9.42683e-05	4.10835e-06	0.000250935	3.55383e-05	1.91974e-05	0.000165654	0.000225943	3.9498e-05	5.54973e-05	0.000402041	0.000186259	3.66407e-05	2.05426e-05	0.000519971	0.000117983	0.000179408	0.000161632	0.000267364	5.42169e-05	0.000101741	0.000174633	2.58728e-05	9.1974e-05	0.00011124	3.07962e-07	0.000158065	0.00015348	7.81373e-06	3.39695e-05	2.87309e-05	0.00017089	0.000667193	3.57499e-05	7.89772e-05	6.19489e-05	8.37007e-05	6.38327e-05	0.000347721	0	4.47456e-06	7.46838e-05	7.34929e-06	6.47462e-05	3.82536e-05	3.73894e-05	9.68701e-05	9.23988e-06	0.000115144	9.77009e-06	0.000684201	7.33437e-05	0.000126706	7.4661e-05	3.96653e-06	0.000203713	6.30586e-05	0.000288045	4.97069e-05	3.24805e-05	0.000192745	0.000197641	8.83806e-05	2.60508e-05	0.000140379	0.000246815	2.97626e-06	2.97829e-05	1.73242e-05	6.10665e-05	0.000215513	0.000213751	1.65288e-07	0.000122135	4.98558e-05	0.000109195	6.44481e-07	0.000194464	1.34609e-05	9.49824e-05	8.68504e-05	0.000144421	7.82934e-07	3.21721e-05	3.34448e-05	6.95802e-05	1.04527e-06	0.000153732	0.00061826	3.78009e-06	9.81075e-05	7.56876e-05	3.41425e-05	0.000140677	6.08437e-06	3.57029e-05	0	4.67271e-05	0.000127136	0.000191207	0.000108687	1.99744e-07	2.73798e-06	0.000321598	0.000279836	0.000910029	9.77614e-05	2.37566e-05	3.65879e-06	0.000151678	2.16192e-05	0.000272976	0.000264502	4.60736e-06	9.21162e-05	0.000196382	1.20697e-07	1.57131e-05	6.1756e-05	6.52493e-05	8.39162e-07	5.33395e-05	0	2.46545e-05	1.50507e-05	1.69337e-05	0.000378741	0.000103757	1.84665e-05	0.000120743	7.86036e-05	0.000184678	6.54873e-07	1.00916e-05	0.000173183	4.16578e-05	7.57324e-05	0.000194186	0.000332775	3.72697e-05	3.00308e-05	0.0001384	9.29811e-05	8.87105e-05	1.46279e-05	0.000230125	9.31852e-05	0.000404329	8.86741e-06	9.28733e-05	7.57609e-05	9.55363e-05	5.67836e-06	1.52303e-05	3.18626e-05	0.000336289	8.32709e-05	0.00017635	0.000247068	2.67311e-05	0.000122249	6.5902e-05	0.000269358	2.29376e-05	0.000139928	4.1852e-05	6.30059e-05	0.000381304
M00176: Sulfur reduction, sulfate => H2S	0.00102767	0	0.000111022	0.00019402	0.000998123	0.00022657	4.01113e-06	0	2.89031e-10	1.41832e-05	5.94541e-06	0.000201148	0.000790823	1.58083e-09	6.91454e-06	0.000277183	0.00152692	0.000587727	0.000604066	0.00135018	1.54262e-05	0	0.000248718	0.000893389	0.000538636	5.64877e-06	0	0.000411953	0.00125079	0	0.00125111	1.30199e-05	0.000328468	0.000240139	8.35973e-06	0.000547965	0	1.84223e-05	0.000433846	1.97386e-05	3.8367e-05	0.00181697	0.00254968	4.6032e-05	0	0	0.000632117	3.09699e-06	0.000440495	7.65259e-05	0.000973235	3.3799e-05	0.00273839	0	8.39908e-05	0.00054115	1.76232e-11	0.000555621	0.000176966	6.83693e-05	6.32135e-06	0.000505828	1.32804e-09	8.75277e-07	0.000398431	2.09418e-05	0.000391296	2.78981e-05	2.12707e-05	2.58235e-07	0	0.000619006	5.74562e-07	5.50219e-06	5.92409e-05	1.25281e-05	0.000190133	0.000849954	2.75032e-05	7.15542e-05	7.04925e-06	3.6139e-05	0	5.70381e-07	0.000744055	0.000124515	7.21351e-06	4.1958e-05	5.95994e-08	0.000954895	0.000108673	3.03844e-05	0	0.0009183	0.000567024	0	0.00122339	7.78278e-07	7.95069e-06	0.00150514	0.000626786	0.0020229	0	2.51261e-08	0.000401083	0	4.24319e-07	3.75935e-06	0.000128583	0	0.000469801	0.000555629	0.000507528	8.36964e-05	0.000391867	1.2518e-05	2.99512e-05	3.34619e-05	0	7.56407e-07	5.06856e-06	0.00024031	1.29396e-05	3.48334e-10	7.70361e-06	5.42164e-05	6.77164e-05	0	7.21637e-05	0.00126167	0.000955592	5.43756e-05	0.000979184	0	0.00108676	0.00153245	0.00062019	3.24182e-07	1.43895e-05	0	0	0.000472102	0.00201498	0.000746991	0.00118279	0.000851446	4.26664e-05	0	6.151e-05	5.8114e-06	0.000721291	2.62266e-05	6.83524e-06	0	2.89297e-05	0.000936726	0	0.00014518	0	2.74417e-05	0.000550037	0.000395087	2.41918e-06	1.18726e-05	0.000661308	0.000626063	0	0.00069596	0.000257491	0.00027519	0	9.39385e-05	3.29735e-05	2.75489e-05	0.000531459	5.80748e-05	0.00062822	1.07628e-05	8.11501e-07	2.82605e-05	0	0.00127546	0.000831293	0	6.99543e-05	0	1.00923e-05	1.11562e-05	0.000328309	4.1052e-06	0.000193148	3.06838e-05	2.65281e-05	0	0.000417402	3.06078e-05	3.41299e-05	0.000229986	0
M00177: Ribosome, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00178: Ribosome, bacteria	0.0549871	0.0769434	0.0431021	0.0450568	0.034649	0.0499754	0.0551758	0.0442385	0.0452049	0.0473492	0.0484099	0.0456811	0.0634145	0.0423214	0.0560238	0.0488106	0.0432446	0.0542429	0.0471518	0.0453522	0.0517106	0.0484582	0.0492876	0.0421562	0.0367356	0.0340513	0.0603796	0.0479461	0.0449073	0.0499109	0.0612357	0.0770956	0.0498637	0.0571787	0.0506509	0.0594735	0.0451872	0.0478272	0.0476235	0.0442487	0.0392636	0.0197696	0.0464389	0.0692718	0.0502591	0.0462319	0.0424387	0.0439725	0.0493493	0.0532108	0.0419119	0.0522426	0.0252819	0.0472452	0.0529734	0.0543132	0.0377507	0.0445225	0.0407306	0.0520597	0.0523161	0.049374	0.0327847	0.0441157	0.0442224	0.0475343	0.0383277	0.0490682	0.038046	0.0266081	0.0687408	0.0454362	0.0514864	0.0320135	0.0497325	0.0352829	0.0457266	0.04243	0.0614157	0.0491297	0.0421175	0.0370165	0.046525	0.0452982	0.0269253	0.0482827	0.0543371	0.0452094	0.040512	0.0535166	0.0646445	0.0434718	0.0447404	0.051557	0.0480785	0.0672281	0.0469437	0.0493963	0.0415144	0.0391011	0.054626	0.0430141	0.0378981	0.0393298	0.0533284	0.0435002	0.0487081	0.0407289	0.0531778	0.0459206	0.0520781	0.0338546	0.0515242	0.0633474	0.0532221	0.0457084	0.0500169	0.0526223	0.0424766	0.0437167	0.0706207	0.0470658	0.0477549	0.039341	0.042844	0.0518027	0.0497453	0.0661182	0.0489827	0.0456934	0.0387464	0.0442646	0.051491	0.0506988	0.0547177	0.0231481	0.0374933	0.0447652	0.0462852	0.0354361	0.0492862	0.0523567	0.0423279	0.0616672	0.0544518	0.0483898	0.0472194	0.0951148	0.044629	0.0395769	0.0449034	0.0544421	0.0413699	0.0623641	0.0427805	0.0593778	0.0461922	0.0477253	0.048919	0.0472545	0.0482439	0.0471101	0.0591749	0.0518984	0.046187	0.0498066	0.0340549	0.0411353	0.0521754	0.0451444	0.0470009	0.0543357	0.0469923	0.0530357	0.0480058	0.052694	0.044186	0.0477775	0.0440375	0.0454815	0.0462116	0.0453487	0.043387	0.0390942	0.042534	0.0523914	0.0571741	0.0407288	0.0535299	0.0467	0.0466136	0.043729	0.0458864	0.0419009	0.0482613	0.0520591	0.0332608	0.0345227	0.0397484
M00179: Ribosome, archaea	0	0	0	0	0	0	0	0	0.0103987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00162366	0	0	0	0	0	0.0104093	0	0	0	0	0	0	0	0.00123197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00508456	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00713699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00180: RNA polymerase II, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00181: RNA polymerase III, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00182: RNA polymerase I, eukaryotes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00184: RNA polymerase, archaea	0	0	0	0	0	0.00122411	0	0	0.00582013	0	0	0	0	0	0	0	0	0	0	0.000883721	0	0	0	0	0	0	0	0	0	0	0	0	0.00159436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00263973	0	0	0	0	0	0.00526241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00305324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M00185: Sulfate transport system	0.00856247	0.00940651	0.0127794	0.00687791	0.0108952	0.0123405	0.0126462	0.00884957	0.00836666	0.0158477	0.00732849	0.00938334	0.00899072	0.00766616	0.0164625	0.0110887	0.00585386	0.00482806	0.0102059	0.00860453	0.00283705	0.00702293	0.003534	0.0164464	0.00485543	0.00382967	0.00785325	0.00655971	0.00480715	0.00834973	0.0118336	0.0108236	0.00557109	0.0159743	0.00529486	0.015122	0.00928332	0.00944336	0.00876825	0.0164314	0	0.00252391	0.00440226	0.0130766	0.0140055	0.0109707	0.00367816	0.00938868	0.0106095	0.0114995	0.00963813	0.00428259	0.00841778	0.0195731	0.0150546	0.00504254	0.0113627	0.00377821	0.0117229	0.00421162	0.00389898	0.0147965	0.00507095	0.00602858	0.0116738	0.00792686	0.00552359	0.0156175	0.00730945	0.0056255	0.0240293	0.0105682	0.00637761	0.00453698	0.00934199	0.00731054	0.011167	0.00482888	0.00555673	0.0123907	0.0151848	0.00365984	0.0127305	0.00885545	0.0106777	0.00817239	0.0127769	0.00863807	0.00602852	0.00303197	0.00698158	0.0104698	0.00761442	0.00735732	0.0117721	0.00977728	0.00648178	0.0184399	0.0116047	0.00847479	0.012206	0.00604831	0.00606182	0.00749583	0.0153886	0.00989192	0.0172937	0.00161318	0.0118125	0.00599865	0.0164686	0.00242826	0.0106281	0.00711545	0.00818552	0.0117947	0.00658317	0.00490004	0.0119041	0.00954851	0.00881528	0.0174115	0.0156865	0.00385475	0.00983266	0.0106436	0.0177414	0.00514909	0.016536	0.0095936	0.00376987	0.00654993	0.00565657	0.00371554	0.0069045	0.00339338	0.00191327	0.00913241	0.00422288	0.00683563	0.00767657	0.00892905	0.00199483	0.00644339	0.00935208	0.00193657	0.00918389	0.0065689	0.0117792	0.0139483	0.0139283	0.0122509	0.00574866	0.0179558	0.00810222	0.0103758	0.00267509	0.00517994	0.00952201	0.00879978	0.00525945	0.00852997	0.00344569	0.00736558	0.0040023	0.0100269	0.0151325	0.0106392	0.00900729	0.00820835	0.00392769	0.00631638	0.00590413	0.0074851	0.0123325	0.00449476	0.00557165	0.0146505	0.00288397	0.00662092	0.00499997	0.00714545	0.00827488	0.00377758	0.00201135	0.00674786	0.0034408	0.0104928	0.00445195	0.00101754	0.00720652	0.00681706	0.0150846	0.00156068	0.00522378	0.00755526	0.0085631	0.00864435	0.00761257
M00193: Putative spermidine/putrescine transport system	0.0037023	0.000475148	0.00215649	0.00159084	0.00202936	0.00237306	0.000833854	0.00355395	0.00229267	0.0041237	0.00253361	0.00131467	0.000974399	0.00295298	0.00104404	0.00195875	0.00219419	0.00237858	0.00154973	0.00386771	0.00106002	0.00203637	0.00297637	0.000511075	0.000828941	0.0054843	0.0025529	0.00159754	0.00476713	0.000787433	0.00198791	0.00113594	0.00750096	0.00254906	0.00160509	0.00369847	0.00404129	0.00248109	0.00205598	0.00451809	0.00151068	0.00116721	0.00331544	0.000527732	0.0124222	0.001889	0.00229071	0.00291691	0.00221123	0.00152356	0.00207132	0.0018901	0.00431658	0.0013261	0.00152905	0.00183532	0.00443069	0.00151862	0.00147311	0.00140788	0.00308813	0.0018609	0.00569641	0.00177965	0.0037851	0.00150638	0.00154983	0.00159842	0.00275603	0.00390723	0.00112133	0.00182726	0.00202501	0.000901784	0.00264009	0.00203749	0.00151052	0.000661342	0.00126978	0.00196367	0.00123052	0.00228509	0.00206352	0.00132525	0.00192453	0.00129118	0.00288029	0.00259042	0.00214738	0.00161863	0.0020021	0.00416044	0.00165878	0.00218923	0.00198884	0.000767539	0.00200046	0.00332416	0.00228025	0.00252157	0.00125657	0.00214275	0.00632206	0.00218329	0.00160064	0.00152189	0.00243787	0.00360499	0.00202218	0.000847982	0.00271624	0.00225029	0.00187608	0.00117839	0.00113626	0.002998	0.00249177	0.00182641	0.0044767	0.00279505	0.00112995	0.00102888	0.00388721	0.00423153	0.00428022	0.00184076	0.00235799	0.000201641	0.00225841	0.00233764	0.00103147	0.00199311	0.00151782	0.00162353	0.0016659	0.00226424	0.00173764	0.00191664	0.00104813	0.00343189	0.00450332	0.00258883	0.00160705	0.00203245	0.000880458	0.00199186	0.0032314	0.00032355	0.00293006	0.00234007	0.00415884	0.00266671	0.00280095	0.000909903	0.00383725	0.00224254	0.00239281	0.00263247	0.00237938	0.00182675	0.00127895	0.00101423	0.00262484	0.00121176	0.00161503	0.00178159	0.0020782	0.00210224	0.00338616	0.00374773	0.00230681	0.00223579	0.00195816	0.00244943	0.00227107	0.000869801	0.00173586	0.00197643	0.00124063	0.00177434	0.00219917	0.00150963	0.00175012	0.00221541	0.001304	0.00226589	0.00240974	0.00262287	0.0022654	0.00163444	0.00122282	0.00134522	0.00242661	0.00147285	0.00133393	0.0011744	0.00211138	0.00314212	0.00158836
M00194: Maltose/maltodextrin transport system	0.0124719	0.0129242	0.014612	0.0097746	0.0121027	0.0108119	0.0114755	0.0116691	0.00682035	0.0166061	0.00704402	0.00720066	0.0125514	0.0120589	0.0183473	0.0147196	0.00926758	0.00606565	0.0108041	0.0105202	0.00487036	0.00612406	0.00685706	0.0127718	0.00843442	0.016043	0.00938416	0.00753339	0.0150979	0.00818952	0.00958721	0.0193656	0.0143155	0.0206951	0.00964715	0.0159273	0.0134073	0.00997805	0.0104832	0.0173246	0.00357238	0.00221273	0.00759907	0.0191621	0.0202243	0.0119002	0.00571605	0.0147564	0.0177799	0.0125208	0.0137958	0.0108604	0.0141921	0.0123299	0.0164057	0.00875881	0.0106957	0.00657225	0.0139091	0.00937268	0.0087751	0.0141451	0.00965367	0.0095307	0.0169282	0.0177856	0.00632004	0.0162846	0.0104195	0.0085845	0.0175789	0.0146523	0.0118368	0.00641573	0.0113679	0.00923461	0.0124751	0.00548704	0.0117363	0.0183927	0.0162136	0.00591925	0.0171847	0.0121622	0.00825304	0.0145392	0.016295	0.0151828	0.00854731	0.00748672	0.00782279	0.0156091	0.0126445	0.00906766	0.0125077	0.0139155	0.0100965	0.0202968	0.0203992	0.0120825	0.0127998	0.00836875	0.0096527	0.00973646	0.0154469	0.0138981	0.0117083	0.00799835	0.00826447	0.00687252	0.0147098	0.0068471	0.0135912	0.00742105	0.00783605	0.0133505	0.0142858	0.00779236	0.0115269	0.0138854	0.0155762	0.0168644	0.0193105	0.0141601	0.00993199	0.00781252	0.0207811	0.0164335	0.0163063	0.0128701	0.00706192	0.0104596	0.00680908	0.00356049	0.00751506	0.00813795	0.00637491	0.0106493	0.00453388	0.0097332	0.0146154	0.00838384	0.00765057	0.00795502	0.0115701	0.00427316	0.0121238	0.00657327	0.0221143	0.015548	0.0157856	0.0134762	0.00850167	0.0247152	0.00942637	0.01136	0.00515691	0.00892254	0.0130133	0.0109317	0.00853597	0.014656	0.0081556	0.0145099	0.00575366	0.00957973	0.0130196	0.012029	0.0100327	0.0111284	0.00713683	0.00746746	0.00877527	0.0105351	0.0160494	0.00814583	0.00980289	0.0187373	0.00605973	0.00866285	0.00698413	0.0108222	0.0105521	0.00937452	0.00584568	0.0147753	0.00938048	0.0132902	0.0150494	0.00376442	0.0105656	0.00862644	0.0176429	0.00427943	0.00534604	0.00973598	0.0100425	0.0131103	0.0111071
